train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
34,3880;1,9074;44,7800;1,8984;35,1862;44,7800;35,1862
48,9860;1,6182;61,6000;1,3891;46,1172;61,6000;46,1172
55,7180;1,4822;68,1800;1,2598;57,2897;68,1800;57,2897
60,2780;1,3874;74,1300;1,1061;58,7862;74,1300;58,7862
63,7280;1,3164;72,7900;1,1753;62,8897;72,7900;62,8897
66,2300;1,2590;75,6500;1,1053;65,0276;75,6500;65,0276
67,6720;1,2283;76,7600;1,0528;65,2138;76,7600;65,2138
69,3280;1,1859;80,7200;0,9583;65,2966;80,7200;65,2966
70,6920;1,1581;81,4500;0,9260;69,2207;81,4500;69,2207
72,1220;1,1273;80,1900;0,9566;69,2621;80,1900;69,2621
73,2600;1,0993;82,7200;0,9038;69,1241;82,7200;69,1241
74,4800;1,0755;85,6400;0,8352;75,3448;85,6400;75,3448
75,4920;1,0503;87,4000;0,7925;74,8414;87,4000;74,8414
76,3900;1,0277;86,8800;0,7993;76,2069;86,8800;76,2069
77,4640;1,0077;87,9600;0,7791;76,6759;87,9600;76,6759
78,2900;0,9905;89,1100;0,7569;77,1517;89,1100;77,1517
78,8040;0,9700;89,7800;0,7342;78,9310;89,7800;78,9310
79,1900;0,9661;89,8600;0,7331;79,9931;89,8600;79,9931
79,7640;0,9567;90,1900;0,7245;79,2345;90,1900;79,2345
79,9440;0,9486;90,4600;0,7221;79,5103;90,4600;79,5103
72,1920;1,1188;83,6600;0,8878;69,4897;83,6600;69,4897
72,3080;1,1179;81,2000;0,9484;70,9862;81,2000;70,9862
72,7060;1,1109;85,5600;0,8595;71,5724;85,5600;71,5724
73,4700;1,0920;85,3800;0,8430;74,0345;85,3800;74,0345
74,2040;1,0773;84,5900;0,8589;71,2759;84,5900;71,2759
74,5780;1,0696;84,7500;0,8511;75,3034;84,7500;75,3034
75,2520;1,0562;84,6400;0,8637;68,5586;84,6400;68,5586
75,6400;1,0447;86,8800;0,8113;73,5379;86,8800;73,5379
76,4460;1,0294;87,2500;0,8002;73,7448;87,2500;73,7448
76,8280;1,0179;87,2700;0,7988;76,5379;87,2700;76,5379
77,0660;1,0099;88,5300;0,7720;75,2690;88,5300;75,2690
77,8880;0,9969;86,7500;0,8132;74,3931;86,7500;74,3931
78,0000;0,9885;87,6200;0,7954;72,7586;87,6200;72,7586
78,8520;0,9712;88,9000;0,7557;75,3379;88,9000;75,3379
78,8980;0,9723;89,8000;0,7286;79,0414;89,8000;79,0414
79,4460;0,9600;89,1300;0,7518;76,0828;89,1300;76,0828
79,6160;0,9527;89,7900;0,7416;76,9517;89,7900;76,9517
80,3400;0,9408;89,9300;0,7392;77,8345;89,9300;77,8345
80,6540;0,9327;90,1200;0,7241;73,7172;90,1200;73,7172
80,8800;0,9251;90,0500;0,7235;75,5655;90,0500;75,5655
81,4840;0,9153;91,3600;0,7021;79,3103;91,3600;79,3103
81,7900;0,9061;90,6200;0,7187;78,3241;90,6200;78,3241
82,1920;0,8958;92,0200;0,6877;79,1310;92,0200;79,1310
82,7540;0,8867;91,3300;0,7046;79,0414;91,3300;79,0414
82,9700;0,8803;90,4500;0,7175;76,0138;90,4500;76,0138
83,3460;0,8733;92,1900;0,6818;81,4897;92,1900;81,4897
83,6800;0,8611;92,4500;0,6700;79,6276;92,4500;79,6276
84,3160;0,8546;92,9600;0,6610;80,7793;92,9600;80,7793
84,4120;0,8463;92,9200;0,6637;81,0138;92,9200;81,0138
84,7820;0,8383;93,2800;0,6616;82,0966;93,2800;82,0966
85,0500;0,8318;93,0800;0,6617;82,2207;93,0800;82,2207
85,1940;0,8261;93,5400;0,6510;81,7931;93,5400;81,7931
85,5180;0,8225;93,5000;0,6520;81,5172;93,5000;81,5172
86,1540;0,8102;93,5600;0,6487;82,8276;93,5600;82,8276
86,2680;0,8077;93,8600;0,6460;82,6207;93,8600;82,6207
86,2940;0,8058;93,7200;0,6464;83,1448;93,7200;83,1448
86,1820;0,8081;93,8100;0,6443;83,3172;93,8100;83,3172
86,3480;0,8052;93,8800;0,6439;83,3862;93,8800;83,3862
86,6760;0,7978;93,8600;0,6431;82,8828;93,8600;82,8828
86,4840;0,8016;93,8600;0,6439;83,0483;93,8600;83,0483
79,9400;0,9459;84,2800;0,8594;69,6345;84,2800;69,6345
79,3080;0,9612;86,6000;0,8275;72,2483;86,6000;72,2483
79,3360;0,9614;87,9100;0,7752;75,7655;87,9100;75,7655
79,4780;0,9576;89,4800;0,7484;75,2897;89,4800;75,2897
80,0180;0,9512;88,3900;0,7764;75,2966;88,3900;75,2966
79,9080;0,9486;88,2800;0,7623;76,8552;88,2800;76,8552
79,9360;0,9454;89,0600;0,7506;78,5034;89,0600;78,5034
80,2280;0,9406;89,9800;0,7395;76,6759;89,9800;76,6759
80,3540;0,9378;88,8100;0,7514;75,3448;88,8100;75,3448
80,6000;0,9319;88,7400;0,7618;73,5103;88,7400;73,5103
80,9320;0,9260;89,2600;0,7418;75,8345;89,2600;75,8345
81,0420;0,9227;89,7700;0,7309;76,5379;89,7700;76,5379
80,9760;0,9216;91,5400;0,6878;80,3310;91,5400;80,3310
81,3880;0,9161;89,5300;0,7393;74,2552;89,5300;74,2552
81,5740;0,9104;90,7400;0,7127;78,3103;90,7400;78,3103
81,6060;0,9087;89,8000;0,7343;78,1448;89,8000;78,1448
81,7120;0,9083;90,7200;0,7158;77,7517;90,7200;77,7517
82,1540;0,8997;88,9300;0,7534;77,3241;88,9300;77,3241
82,3440;0,8959;90,8900;0,7248;78,6414;90,8900;78,6414
82,2920;0,8955;90,5700;0,7266;79,5172;90,5700;79,5172
82,3940;0,8939;91,3800;0,6964;79,8207;91,3800;79,8207
82,5880;0,8880;91,5600;0,6988;78,7034;91,5600;78,7034
82,7220;0,8850;91,8100;0,6884;77,7517;91,8100;77,7517
82,7820;0,8848;90,7300;0,7197;79,0483;90,7300;79,0483
83,0140;0,8762;91,8900;0,6908;77,8552;91,8900;77,8552
83,1740;0,8740;90,1700;0,7292;77,0552;90,1700;77,0552
83,4800;0,8714;91,3700;0,6976;78,8069;91,3700;78,8069
83,4960;0,8670;92,0000;0,6868;80,7310;92,0000;80,7310
83,9600;0,8615;92,2100;0,6841;81,9517;92,2100;81,9517
83,8400;0,8600;92,2600;0,6809;78,5724;92,2600;78,5724
84,1040;0,8549;90,8400;0,7134;78,1310;90,8400;78,1310
84,2460;0,8513;92,6300;0,6750;80,6759;92,6300;80,6759
84,2380;0,8510;92,1800;0,6830;78,2207;92,1800;78,2207
84,6000;0,8454;92,9000;0,6708;80,0000;92,9000;80,0000
84,7560;0,8415;92,8600;0,6738;82,3655;92,8600;82,3655
84,9500;0,8374;92,7600;0,6701;81,8345;92,7600;81,8345
85,1540;0,8319;93,0900;0,6638;79,7379;93,0900;79,7379
84,9840;0,8355;92,7200;0,6707;78,1793;92,7200;78,1793
85,5540;0,8220;93,0000;0,6641;80,6552;93,0000;80,6552
85,3460;0,8233;93,1600;0,6686;81,0759;93,1600;81,0759
85,6400;0,8183;93,5600;0,6493;79,7310;93,5600;79,7310
86,0560;0,8116;93,3800;0,6634;81,0414;93,3800;81,0414
86,1440;0,8107;92,9600;0,6660;81,0966;92,9600;81,0966
86,0380;0,8103;93,6800;0,6512;79,6000;93,6800;79,6000
86,4000;0,8040;93,8800;0,6479;82,1724;93,8800;82,1724
86,4380;0,8011;94,0300;0,6430;81,9724;94,0300;81,9724
86,9400;0,7921;93,9900;0,6465;83,7655;93,9900;83,7655
87,1800;0,7885;93,5800;0,6548;83,9862;93,5800;83,9862
86,9680;0,7903;94,0700;0,6463;83,5241;94,0700;83,5241
87,1980;0,7871;94,0600;0,6477;83,8966;94,0600;83,8966
87,3700;0,7820;93,8000;0,6464;82,0966;93,8000;82,0966
87,5680;0,7787;94,4900;0,6330;83,5379;94,4900;83,5379
87,7400;0,7720;94,1400;0,6456;81,4828;94,1400;81,4828
88,0220;0,7691;94,6200;0,6316;81,0345;94,6200;81,0345
88,1840;0,7634;94,6300;0,6299;82,6000;94,6300;82,6000
88,2860;0,7604;94,5000;0,6328;83,7379;94,5000;83,7379
88,2820;0,7597;94,4600;0,6349;82,0759;94,4600;82,0759
88,5220;0,7576;94,6800;0,6270;84,5172;94,6800;84,5172
88,7980;0,7495;95,0800;0,6241;84,2552;95,0800;84,2552
89,0560;0,7444;94,8600;0,6253;83,9862;94,8600;83,9862
88,8020;0,7490;94,9700;0,6204;84,9310;94,9700;84,9310
89,1420;0,7413;95,2300;0,6185;84,8828;95,2300;84,8828
89,3480;0,7368;95,1300;0,6198;85,0759;95,1300;85,0759
89,4900;0,7344;95,2200;0,6215;83,9931;95,2200;83,9931
89,4400;0,7357;95,2700;0,6186;85,3655;95,2700;85,3655
89,7380;0,7283;95,3000;0,6185;84,3931;95,3000;84,3931
89,6600;0,7304;95,3100;0,6169;84,6621;95,3100;84,6621
90,0020;0,7254;95,1600;0,6206;83,7586;95,1600;83,7586
89,8900;0,7255;95,3700;0,6174;84,0483;95,3700;84,0483
90,1280;0,7201;95,2600;0,6174;84,7103;95,2600;84,7103
90,2600;0,7187;95,4000;0,6157;84,4552;95,4000;84,4552
90,0080;0,7220;95,4300;0,6121;85,3310;95,4300;85,3310
90,1780;0,7192;95,3900;0,6134;85,1172;95,3900;85,1172
90,2860;0,7190;95,4000;0,6146;85,7034;95,4000;85,7034
90,4020;0,7142;95,5400;0,6140;85,4828;95,5400;85,4828
90,3200;0,7171;95,5100;0,6141;85,2276;95,5100;85,2276
90,4540;0,7128;95,3000;0,6149;85,4759;95,3000;85,4759
90,3320;0,7157;95,4100;0,6137;85,1586;95,4100;85,1586
90,2600;0,7172;95,4600;0,6138;85,3241;95,4600;85,3241
90,4880;0,7129;95,5100;0,6130;85,1793;95,5100;85,1793
83,8740;0,8579;89,8000;0,7455;78,0483;89,8000;78,0483
82,9700;0,8791;90,5800;0,7187;77,4759;90,5800;77,4759
82,2620;0,8918;89,7800;0,7407;76,4483;89,7800;76,4483
82,4620;0,8902;88,7900;0,7601;76,4138;88,7900;76,4138
82,3600;0,8916;89,2900;0,7497;75,9724;89,2900;75,9724
82,7360;0,8866;91,2600;0,7087;77,8414;91,2600;77,8414
