;config_532_avg
Standard_Acc;81,6700
RMSCE;0,0504
gaussian_noise;59,8180
shot_noise;63,9600
impulse_noise;63,3940
defocus_blur;76,3200
glass_blur;63,2440
motion_blur;71,5100
zoom_blur;73,2480
snow;71,5880
frost;71,1000
fog;74,4620
brightness;79,8880
contrast;77,4220
elastic_transform;71,9420
pixelate;69,5460
jpeg_compression;60,7740
speckle_noise;63,8080
gaussian_blur;73,6340
spatter;75,1280
saturate;75,9200
blue_noise;61,3980
brownish_noise;45,1100
checkerboard_cutout;69,1080
circular_motion_blur;73,8040
inverse_sparkles;44,0040
lines;56,3340
pinch_and_twirl;76,3100
ripple;65,5700
sparkles;67,3020
transverse_chromatic_abberation;51,7680
Acc_C-all-19;70,3529
Acc_C-original-15;69,8811
Acc_C-bar-10;61,0708
Acc_all-ex-pixelwise-noise-24;68,1265
RMSCE_C;0,0830
Combined_Noise;68,1000
