;config_535_avg
Standard_Acc;82,1900
RMSCE;0,1004
gaussian_noise;60,6480
shot_noise;64,3800
impulse_noise;71,8460
defocus_blur;77,4940
glass_blur;64,4400
motion_blur;71,0080
zoom_blur;75,2800
snow;71,4480
frost;68,9840
fog;75,3960
brightness;80,2800
contrast;76,8180
elastic_transform;72,1360
pixelate;66,5440
jpeg_compression;56,8040
speckle_noise;64,6600
gaussian_blur;75,8380
spatter;74,6340
saturate;75,7060
blue_noise;64,5800
brownish_noise;39,7760
checkerboard_cutout;69,1460
circular_motion_blur;76,5160
inverse_sparkles;45,9160
lines;54,6240
pinch_and_twirl;75,8220
ripple;58,9620
sparkles;67,0000
transverse_chromatic_abberation;49,0900
Acc_C-all-19;70,7549
Acc_C-original-15;70,2337
Acc_C-bar-10;60,1432
Acc_all-ex-pixelwise-noise-24;67,4859
RMSCE_C;0,0663
Combined_Noise;69,0000
