time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
27,7493;11,8580;3,9854;17,6100;3,7315;13,4000;17,6100;13,4000
54,7476;26,1900;3,2877;27,9900;3,3438;19,8966;27,9900;19,8966
81,1391;36,7460;2,8639;35,0200;3,0493;22,4690;35,0200;22,4690
107,6130;45,4100;2,5612;41,2300;2,8462;25,5517;41,2300;25,5517
134,1959;51,1800;2,3593;48,9600;2,4825;30,3931;48,9600;30,3931
160,5430;56,3020;2,1987;51,1800;2,4234;30,4966;51,1800;30,4966
186,9746;60,6140;2,0673;52,9200;2,4154;31,6966;52,9200;31,6966
213,3325;64,0520;1,9586;56,3000;2,2723;34,0138;56,3000;34,0138
239,8342;67,6740;1,8546;58,6400;2,1795;34,1379;58,6400;34,1379
266,4128;70,9280;1,7615;60,9300;2,1121;35,3586;60,9300;35,3586
292,7938;74,0120;1,6725;62,8300;2,0618;37,5931;62,8300;37,5931
319,2215;76,9780;1,5912;63,8800;2,0066;37,0414;63,8800;37,0414
345,6068;79,6620;1,5176;64,7400;1,9961;37,3448;64,7400;37,3448
372,0302;82,4340;1,4482;66,5100;1,9400;39,0069;66,5100;39,0069
398,4325;84,5220;1,3905;68,0000;1,9091;39,3103;68,0000;39,3103
424,8211;86,9800;1,3358;68,3400;1,8793;39,9448;68,3400;39,9448
451,1028;88,8060;1,2912;68,7800;1,8602;40,0828;68,7800;40,0828
477,5331;90,1240;1,2605;69,7300;1,8346;40,6138;69,7300;40,6138
503,8134;91,0340;1,2357;69,9900;1,8329;40,4621;69,9900;40,4621
530,2627;91,5460;1,2246;70,1200;1,8258;40,9241;70,1200;40,9241
556,6841;74,6560;1,6371;58,4500;2,2720;33,5586;58,4500;33,5586
583,4074;74,6700;1,6396;55,8300;2,3869;31,0483;55,8300;31,0483
609,8634;76,2820;1,5954;58,8100;2,2009;33,6483;58,8100;33,6483
636,6475;78,0160;1,5414;59,1600;2,2254;33,4966;59,1600;33,4966
663,1795;80,0060;1,4933;61,5100;2,1920;35,2828;61,5100;35,2828
689,6971;81,4400;1,4566;63,5600;2,0700;36,6414;63,5600;36,6414
716,1566;82,9180;1,4091;64,0000;2,0534;36,4690;64,0000;36,4690
742,5792;84,6140;1,3661;62,0300;2,2076;34,2276;62,0300;34,2276
769,0787;86,1020;1,3308;64,9600;2,0387;37,7655;64,9600;37,7655
795,5831;87,7640;1,2869;65,4300;2,0590;37,9034;65,4300;37,9034
821,9686;89,1060;1,2487;65,6400;2,0556;37,6483;65,6400;37,6483
848,4315;90,6260;1,2089;66,0200;2,0183;38,4690;66,0200;38,4690
874,9781;91,9320;1,1754;65,7600;2,0117;37,6552;65,7600;37,6552
901,8022;93,0500;1,1441;66,2600;2,0401;37,4828;66,2600;37,4828
928,2535;94,3880;1,1126;66,5100;2,0017;38,2621;66,5100;38,2621
954,6475;95,3440;1,0839;66,4300;2,0249;38,2552;66,4300;38,2552
981,1577;96,1900;1,0567;68,4200;1,9712;39,5448;68,4200;39,5448
1007,7021;97,0060;1,0347;69,3600;1,8967;40,6276;69,3600;40,6276
1034,6054;97,7000;1,0096;69,1000;1,9190;39,4069;69,1000;39,4069
1061,0252;98,1360;0,9915;69,1700;1,9324;40,8069;69,1700;40,8069
1087,6121;98,6100;0,9716;69,1100;1,9117;39,8759;69,1100;39,8759
1114,1586;98,9580;0,9547;69,9600;1,8804;41,4345;69,9600;41,4345
1140,6453;99,2520;0,9400;71,8600;1,8151;41,6345;71,8600;41,6345
1166,9417;99,4140;0,9241;71,8700;1,8171;41,8621;71,8700;41,8621
1193,3321;99,5800;0,9113;72,0900;1,7976;42,2069;72,0900;42,2069
1219,7433;99,7460;0,8990;72,3700;1,7779;42,4207;72,3700;42,4207
1246,4085;99,8620;0,8842;72,7800;1,7651;42,8690;72,7800;42,8690
1272,7008;99,8880;0,8749;72,9600;1,7630;43,5448;72,9600;43,5448
1298,9290;99,8920;0,8685;73,4700;1,7466;43,4207;73,4700;43,4207
1325,1924;99,9280;0,8609;73,3600;1,7467;43,3586;73,3600;43,3586
1351,6371;99,9500;0,8557;73,5700;1,7361;43,4414;73,5700;43,4414
1377,9694;99,9600;0,8523;73,5000;1,7359;43,5241;73,5000;43,5241
1404,4474;99,9640;0,8483;73,7200;1,7371;43,2345;73,7200;43,2345
1430,6675;99,9640;0,8460;73,8600;1,7324;43,5034;73,8600;43,5034
1456,8895;99,9640;0,8440;74,2100;1,7330;43,8483;74,2100;43,8483
1483,2305;99,9580;0,8427;74,1200;1,7283;43,8345;74,1200;43,8345
1509,7470;99,9800;0,8408;74,1700;1,7289;43,8828;74,1700;43,8828
1536,3173;99,9680;0,8401;74,0000;1,7327;43,7034;74,0000;43,7034
1562,7997;99,9760;0,8399;73,9800;1,7303;43,6690;73,9800;43,6690
1589,2647;99,9700;0,8393;74,2500;1,7288;43,7793;74,2500;43,7793
1615,5110;96,5380;1,0195;64,8500;2,0932;36,2828;64,8500;36,2828
1642,0191;94,6800;1,0801;64,7000;2,0849;36,3103;64,7000;36,3103
1668,6358;95,0160;1,0740;65,4100;2,0394;36,5310;65,4100;36,5310
1695,2037;95,2920;1,0649;64,0800;2,1694;35,7793;64,0800;35,7793
1721,7043;95,3600;1,0627;65,9400;2,0529;38,4621;65,9400;38,4621
1748,3206;95,8140;1,0525;67,0500;1,9885;38,4276;67,0500;38,4276
1775,2361;96,1140;1,0426;66,4700;1,9902;38,0069;66,4700;38,0069
1801,7804;96,5480;1,0312;65,6100;2,0534;36,6552;65,6100;36,6552
1828,4073;96,5620;1,0278;66,9100;2,0503;38,8069;66,9100;38,8069
1854,9636;96,8800;1,0176;67,2300;1,9816;38,2966;67,2300;38,2966
1881,4208;97,2440;1,0055;68,3500;1,9581;38,5172;68,3500;38,5172
1907,8217;97,3460;1,0011;68,0800;1,9678;39,0690;68,0800;39,0690
1934,7100;97,2860;0,9962;67,1000;1,9580;38,1448;67,1000;38,1448
1961,0969;97,6820;0,9879;67,5500;1,9774;37,9517;67,5500;37,9517
1987,5077;97,8200;0,9810;68,6200;1,9396;38,7241;68,6200;38,7241
2013,9487;98,0340;0,9741;68,7300;1,9315;39,2483;68,7300;39,2483
2040,5089;98,1900;0,9664;68,6900;1,9091;40,5517;68,6900;40,5517
2067,0957;98,3500;0,9599;67,4600;1,9584;37,9379;67,4600;37,9379
2093,6296;98,4260;0,9539;68,6800;1,9217;37,7931;68,6800;37,7931
2120,2172;98,6360;0,9499;67,8300;1,9214;38,1172;67,8300;38,1172
2146,8107;98,6800;0,9439;69,7300;1,8673;40,6759;69,7300;40,6759
2173,1765;98,8120;0,9362;68,9400;1,9012;38,7241;68,9400;38,7241
2199,7959;99,0420;0,9294;69,4000;1,8997;40,9655;69,4000;40,9655
2226,4033;99,0540;0,9233;69,3000;1,8925;40,2690;69,3000;40,2690
2252,7831;99,1820;0,9174;70,7800;1,8650;41,3172;70,7800;41,3172
2279,2177;99,2520;0,9123;70,1300;1,8729;40,9103;70,1300;40,9103
2305,6900;99,2980;0,9070;70,6900;1,8247;40,6897;70,6900;40,6897
2332,1076;99,4640;0,8986;70,0000;1,8582;40,6138;70,0000;40,6138
2358,6298;99,6140;0,8901;70,8400;1,8327;41,6621;70,8400;41,6621
2385,1339;99,6780;0,8818;72,0300;1,7749;42,0621;72,0300;42,0621
2411,7514;99,7620;0,8739;71,6100;1,7834;41,4621;71,6100;41,4621
2438,2323;99,8220;0,8652;71,4600;1,7909;41,7448;71,4600;41,7448
2464,8184;99,8780;0,8603;72,7800;1,7433;42,8966;72,7800;42,8966
2491,2702;99,8780;0,8539;72,1500;1,7606;42,1793;72,1500;42,1793
2517,8358;99,9260;0,8469;73,6700;1,7323;43,4690;73,6700;43,4690
2544,4969;99,9220;0,8441;73,6200;1,7313;43,6276;73,6200;43,6276
2571,0080;99,9300;0,8406;73,8800;1,7245;43,6414;73,8800;43,6414
2597,5718;99,9340;0,8368;73,9900;1,7209;43,4897;73,9900;43,4897
2624,1820;99,9480;0,8339;73,8600;1,7225;44,2690;73,8600;44,2690
2650,7761;99,9500;0,8314;74,1800;1,7110;44,1655;74,1800;44,1655
2677,2638;99,9480;0,8291;74,4200;1,7100;43,6621;74,4200;43,6621
2703,6334;99,9640;0,8263;74,5200;1,6987;44,3241;74,5200;44,3241
2730,0416;99,9700;0,8237;74,4900;1,7168;43,2759;74,4900;43,2759
2756,5311;99,9560;0,8224;75,1000;1,6910;44,5724;75,1000;44,5724
2783,0760;99,9620;0,8200;75,1300;1,6936;45,0138;75,1300;45,0138
2809,3711;99,9600;0,8186;75,0600;1,7015;44,5448;75,0600;44,5448
2835,7852;99,9660;0,8172;75,1900;1,6931;44,8276;75,1900;44,8276
2862,1020;99,9620;0,8159;75,5200;1,7043;44,4828;75,5200;44,4828
2888,8603;99,9700;0,8140;75,2500;1,6949;44,7724;75,2500;44,7724
2915,3003;99,9700;0,8126;75,0400;1,6943;45,1310;75,0400;45,1310
2941,7162;99,9700;0,8113;75,1500;1,7048;45,1034;75,1500;45,1034
2968,1820;99,9720;0,8100;75,4100;1,6965;45,8759;75,4100;45,8759
2994,5544;99,9780;0,8089;75,8700;1,6973;45,7655;75,8700;45,7655
3020,8800;99,9680;0,8080;75,7100;1,6961;45,9517;75,7100;45,9517
3047,2811;99,9740;0,8071;75,5900;1,7015;45,6000;75,5900;45,6000
3074,6344;99,9680;0,8062;75,8400;1,7000;46,0000;75,8400;46,0000
3101,0722;99,9700;0,8058;75,6000;1,7004;45,6483;75,6000;45,6483
3127,5797;99,9700;0,8052;75,8300;1,6969;45,8828;75,8300;45,8828
3154,1581;99,9780;0,8040;75,8000;1,7005;45,7103;75,8000;45,7103
3180,6481;99,9720;0,8033;75,9900;1,7035;46,1310;75,9900;46,1310
3207,0028;99,9780;0,8027;75,5400;1,7094;45,8759;75,5400;45,8759
3233,8039;99,9760;0,8021;75,9500;1,7083;45,9793;75,9500;45,9793
3260,1696;99,9820;0,8019;75,8700;1,7113;46,2345;75,8700;46,2345
3286,6997;99,9700;0,8015;75,7200;1,7125;45,9034;75,7200;45,9034
3313,1814;99,9740;0,8011;75,8500;1,7121;45,7103;75,8500;45,7103
3339,6445;99,9820;0,8004;75,8900;1,7091;46,0690;75,8900;46,0690
3366,1044;99,9780;0,8001;76,0300;1,7095;45,8000;76,0300;45,8000
3392,3322;99,9780;0,8000;75,9300;1,7113;45,8345;75,9300;45,8345
3418,8558;99,9800;0,7993;75,8600;1,7151;45,9310;75,8600;45,9310
3445,2973;99,9820;0,7994;75,8000;1,7167;45,9379;75,8000;45,9379
3471,7567;99,9800;0,7991;75,8700;1,7157;46,2138;75,8700;46,2138
3498,2310;99,9760;0,7991;76,0000;1,7139;46,0621;76,0000;46,0621
3524,6481;99,9800;0,7986;75,8500;1,7161;46,0138;75,8500;46,0138
3551,0954;99,9800;0,7985;75,8400;1,7191;46,0759;75,8400;46,0759
3577,7031;99,9840;0,7987;75,8300;1,7152;46,0483;75,8300;46,0483
3604,0714;99,9840;0,7984;75,9500;1,7192;46,1241;75,9500;46,1241
3630,6373;99,9840;0,7983;75,8500;1,7184;46,1448;75,8500;46,1448
3657,0840;99,9820;0,7984;75,8800;1,7220;45,9103;75,8800;45,9103
3683,5285;99,9860;0,7981;76,1900;1,7143;46,0000;76,1900;46,0000
3709,7814;99,9840;0,7983;75,7200;1,7235;46,0621;75,7200;46,0621
3736,3382;98,8800;0,9005;67,2500;1,9518;38,3931;67,2500;38,3931
3762,8400;97,4800;0,9727;65,8700;1,9823;36,7862;65,8700;36,7862
3789,2168;96,9780;0,9862;67,0300;1,9741;37,2552;67,0300;37,2552
