time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
251,0181;61,3020;2,0875;82,9300;1,3063;64,1241;82,9300;64,1241
486,9862;76,2320;1,5158;84,3800;1,2529;63,0345;84,3800;63,0345
821,3323;80,3140;1,3937;86,2400;1,1955;64,7448;86,2400;64,7448
1156,1558;82,9640;1,3098;86,8500;1,1721;64,1172;86,8500;64,1172
1587,7730;85,0260;1,2490;87,2500;1,1529;65,1448;87,2500;65,1448
1895,7202;86,5160;1,2013;88,2000;1,1409;67,9862;88,2000;67,9862
2202,3267;88,1180;1,1523;87,6700;1,1490;67,4621;87,6700;67,4621
2508,5325;89,3260;1,1163;87,9800;1,1278;68,6621;87,9800;68,6621
2939,6506;90,1880;1,0894;88,0400;1,1472;69,3724;88,0400;69,3724
3224,0107;91,3460;1,0560;88,3100;1,1379;67,9172;88,3100;67,9172
3629,7231;91,9740;1,0381;88,5800;1,1268;67,2966;88,5800;67,2966
3997,3453;93,0780;1,0066;88,9200;1,1205;67,3931;88,9200;67,3931
4600,3886;93,5000;0,9914;89,3200;1,1118;67,6897;89,3200;67,6897
5038,8232;93,9620;0,9777;89,3100;1,1087;68,8690;89,3100;68,8690
5732,6706;94,5560;0,9570;89,5900;1,1013;68,1793;89,5900;68,1793
6915,2714;94,7280;0,9518;89,7400;1,1003;69,2276;89,9800;69,0483
8085,5055;94,8220;0,9473;90,1400;1,0977;69,0483;90,3000;69,2828
9233,1043;95,1480;0,9415;89,7000;1,1023;69,5241;90,4600;69,6276
10454,9976;95,1180;0,9390;89,7300;1,1074;68,6000;90,5100;69,7172
11668,5942;95,3400;0,9335;89,9100;1,1047;68,0828;90,5600;69,6276
