;config_196_avg
Standard_Acc;89,6300
RMSCE;0,0650
gaussian_noise;69,5980
shot_noise;73,8060
impulse_noise;72,1860
defocus_blur;83,0100
glass_blur;57,0980
motion_blur;80,2580
zoom_blur;81,2380
snow;82,4660
frost;81,5320
fog;83,3700
brightness;88,3620
contrast;86,9860
elastic_transform;79,5920
pixelate;81,1580
jpeg_compression;69,5340
speckle_noise;74,2780
gaussian_blur;80,3320
spatter;83,8220
saturate;85,5320
blue_noise;69,8660
brownish_noise;55,8480
checkerboard_cutout;79,0560
circular_motion_blur;85,1720
inverse_sparkles;56,2820
lines;73,9060
pinch_and_twirl;84,4080
ripple;77,5900
sparkles;80,4640
transverse_chromatic_abberation;52,0920
Acc_C-all-19;78,6399
Acc_C-original-15;78,0129
Acc_C-bar-10;71,4684
Acc_all-ex-pixelwise-noise-24;77,0462
RMSCE_C;0,0718
Combined_Noise;88,5200
