;config_319_avg;config_319_std;config_319_run_0;config_319_run_1;config_319_run_2;config_319_run_3;config_319_run_4
Standard_Acc;80,3360;0,2744;80,5900;79,9200;80,3800;80,6500;80,1400
RMSCE;0,0253;0,0034;0,0313;0,0227;0,0236;0,0222;0,0268
gaussian_noise;55,1200;2,7867;58,3000;52,3000;56,0000;57,6000;51,4000
shot_noise;59,0800;3,0909;63,1000;56,5000;62,5000;57,5000;55,8000
impulse_noise;63,5800;2,6739;67,9000;60,4000;61,3000;64,9000;63,4000
defocus_blur;74,8000;0,4243;74,9000;74,8000;74,2000;75,5000;74,6000
glass_blur;59,4400;1,6657;58,4000;56,8000;60,8000;61,4000;59,8000
motion_blur;70,1000;1,3161;69,8000;72,1000;70,1000;70,5000;68,0000
zoom_blur;72,4400;1,0480;71,6000;71,7000;73,1000;71,6000;74,2000
snow;67,4800;1,1071;67,3000;67,6000;68,7000;68,3000;65,5000
frost;73,6600;2,4508;72,3000;70,1000;74,5000;77,5000;73,9000
fog;72,7200;0,8976;72,9000;71,4000;74,1000;73,0000;72,2000
brightness;78,2600;1,2142;78,0000;76,1000;79,3000;78,4000;79,5000
contrast;75,9200;0,5528;75,7000;75,5000;75,3000;76,8000;76,3000
elastic_transform;68,7400;1,9231;69,2000;70,1000;70,7000;68,5000;65,2000
pixelate;61,0800;2,0233;62,8000;62,3000;62,5000;60,4000;57,4000
jpeg_compression;57,1200;0,7679;57,6000;56,5000;56,7000;58,4000;56,4000
speckle_noise;59,7400;3,0832;64,5000;55,8000;60,7000;60,7000;57,0000
gaussian_blur;68,7000;1,2050;68,1000;67,7000;70,1000;70,2000;67,4000
spatter;73,2800;1,7244;73,1000;71,0000;76,0000;74,2000;72,1000
saturate;74,8200;1,3378;75,6000;74,5000;75,0000;76,5000;72,5000
blue_noise;62,6400;1,9633;62,5000;58,9000;64,3000;63,9000;63,6000
brownish_noise;42,1800;1,5092;41,6000;39,9000;44,4000;43,1000;41,9000
checkerboard_cutout;65,4400;0,8868;65,6000;64,0000;65,1000;65,8000;66,7000
circular_motion_blur;74,2400;1,4664;73,8000;72,9000;77,1000;73,7000;73,7000
inverse_sparkles;40,2800;1,8851;38,7000;40,3000;39,4000;43,9000;39,1000
lines;51,6200;1,7022;50,2000;51,6000;54,8000;51,4000;50,1000
pinch_and_twirl;72,9400;0,4409;72,3000;72,7000;72,9000;73,2000;73,6000
ripple;61,8600;1,5920;62,4000;64,6000;60,7000;61,6000;60,0000
sparkles;65,3000;2,3401;63,1000;67,6000;66,6000;67,3000;61,9000
transverse_chromatic_abberation;47,5800;2,1812;45,4000;45,8000;50,7000;49,7000;46,3000
Acc_C-all-19;67,6884;0,9963;68,4789;66,4842;68,5053;68,5211;66,4526
Acc_C-original-15;67,3027;0,8515;67,9867;66,2800;67,9867;68,0200;66,2400
Acc_C-bar-10;58,4080;0,8827;57,5600;57,8300;59,6000;59,3600;57,6900
Acc_all-ex-pixelwise-noise-24;65,4167;0,7623;65,0167;64,9000;66,3667;66,2875;64,5125
RMSCE_C;0,0823;0,0077;0,0761;0,0929;0,0856;0,0713;0,0854
Combined_Noise;66,7020;1,2013;67,8100;64,6900;67,4900;67,5700;65,9500
