;config_321_avg;config_321_std;config_321_run_0;config_321_run_1;config_321_run_2
Standard_Acc;81,5733;0,1087;81,5400;81,4600;81,7200
RMSCE;0,0217;0,0008;0,0212;0,0211;0,0229
gaussian_noise;62,1873;1,1048;62,1680;63,5500;60,8440
shot_noise;65,7347;1,0288;65,4460;67,1140;64,6440
impulse_noise;67,2627;1,3146;67,2640;68,8720;65,6520
defocus_blur;76,7833;0,0519;76,7120;76,8040;76,8340
glass_blur;64,6467;0,2211;64,7160;64,8760;64,3480
motion_blur;72,7713;0,1548;72,6360;72,9880;72,6900
zoom_blur;74,3107;0,2361;74,0540;74,2540;74,6240
snow;72,4173;0,2807;72,5840;72,6460;72,0220
frost;72,7693;0,3268;73,0740;72,9180;72,3160
fog;75,3867;0,1210;75,5540;75,3340;75,2720
brightness;80,0540;0,1198;79,8960;80,0800;80,1860
contrast;76,5127;0,2361;76,7960;76,2180;76,5240
elastic_transform;72,0900;0,1195;71,9900;72,2580;72,0220
pixelate;71,7033;0,8942;71,6800;72,8100;70,6200
jpeg_compression;62,1660;0,4615;61,6320;62,7580;62,1080
speckle_noise;66,1407;0,9380;66,0080;67,3500;65,0640
gaussian_blur;74,8013;0,1339;74,6180;74,9340;74,8520
spatter;74,0833;0,1753;74,1640;73,8400;74,2460
saturate;75,5567;0,0318;75,5960;75,5180;75,5560
blue_noise;63,1707;0,4450;62,9000;62,8140;63,7980
brownish_noise;45,0773;0,8781;45,3560;45,9860;43,8900
checkerboard_cutout;66,7487;0,3093;67,1860;66,5340;66,5260
circular_motion_blur;75,3973;0,1534;75,6140;75,2980;75,2800
inverse_sparkles;46,7553;1,0189;47,1340;47,7700;45,3620
lines;55,1847;0,6167;55,5340;55,7020;54,3180
pinch_and_twirl;75,3247;0,0747;75,2440;75,4240;75,3060
ripple;65,9867;0,1799;66,0240;65,7500;66,1860
sparkles;67,7960;0,0435;67,7540;67,7780;67,8560
transverse_chromatic_abberation;55,3913;0,3531;54,8920;55,6340;55,6480
Acc_C-all-19;71,4409;0,3172;71,3994;71,8485;71,0749
Acc_C-original-15;71,1197;0,3488;71,0801;71,5653;70,7137
Acc_C-bar-10;61,6833;0,1931;61,7638;61,8690;61,4170
Acc_all-ex-pixelwise-noise-24;68,7381;0,1633;68,7683;68,9213;68,5247
RMSCE_C;0,0457;0,0031;0,0458;0,0419;0,0495
Combined_Noise;70,3833;0,3757;70,3700;70,8500;69,9300
