time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
40,7121;8,8980;4,1545;13,6400;3,9078;9,8690;13,6400;9,8690
84,6848;21,9460;3,5767;22,0700;3,7374;21,2483;22,0700;21,2483
126,8386;35,3680;3,0553;32,8400;3,2926;21,9655;32,8400;21,9655
167,5273;44,6900;2,7232;35,8100;3,2544;23,3586;35,8100;23,3586
208,7759;52,3420;2,4804;44,4200;2,9487;31,4345;44,4200;31,4345
248,9605;56,7540;2,3313;42,5200;3,0105;29,0138;42,5200;29,0138
291,0761;59,8660;2,2202;47,5400;2,8389;31,3379;47,5400;31,3379
332,3556;61,8620;2,1453;49,9800;2,7593;36,7103;49,9800;36,7103
374,4107;64,5900;2,0605;52,9000;2,6217;38,6897;52,9000;38,6897
415,0515;66,4040;1,9933;52,5000;2,5920;40,5241;52,5000;40,5241
457,7485;68,3140;1,9280;55,2400;2,5100;42,0000;55,2400;42,0000
498,6463;69,5720;1,8865;55,0700;2,4755;40,0759;55,0700;40,0759
540,4024;71,3260;1,8317;58,3800;2,3870;44,2897;58,3800;44,2897
583,0191;72,2120;1,7962;58,2600;2,4582;42,0414;58,2600;42,0414
624,2086;73,4560;1,7528;60,2500;2,3227;42,6690;60,2500;42,6690
665,4709;74,2280;1,7239;61,3400;2,2964;44,2483;61,3400;44,2483
708,1065;75,2060;1,6922;61,1700;2,2715;45,1793;61,1700;45,1793
750,2932;75,6280;1,6804;61,7400;2,2797;44,6207;61,7400;44,6207
790,3352;76,0800;1,6649;61,9800;2,2562;45,2690;61,9800;45,2690
833,7851;76,6200;1,6495;61,7600;2,2510;44,3724;61,7600;44,3724
874,9365;67,7200;1,9415;54,3400;2,6420;36,6897;54,3400;36,6897
916,4587;68,3060;1,9204;52,2200;2,8212;34,1862;52,2200;34,1862
957,0483;68,5660;1,9105;55,3900;2,5399;36,5931;55,3900;36,5931
998,4251;69,5220;1,8796;56,7800;2,4771;39,5655;56,7800;39,5655
1039,8495;70,2040;1,8520;55,9300;2,5290;42,8345;55,9300;42,8345
1081,3211;71,1420;1,8216;58,3200;2,3648;43,0483;58,3200;43,0483
1124,6482;71,6800;1,8022;58,4600;2,3655;42,6345;58,4600;42,6345
1167,3426;72,4420;1,7741;58,1300;2,4217;41,6069;58,1300;41,6069
1209,1550;72,9240;1,7566;58,2800;2,4310;36,4000;58,2800;36,4000
1253,2314;73,8360;1,7305;60,0900;2,3581;42,6690;60,0900;42,6690
1296,3633;74,4740;1,7061;60,0900;2,2800;41,8069;60,0900;41,8069
1336,6313;75,1200;1,6832;61,3800;2,2315;45,5724;61,3800;45,5724
1378,8935;75,5220;1,6732;61,2500;2,3130;42,9172;61,2500;42,9172
1420,9083;75,5980;1,6607;62,7500;2,2122;44,4483;62,7500;44,4483
1462,7389;76,2760;1,6383;63,3300;2,1994;42,7724;63,3300;42,7724
1503,8189;76,8400;1,6212;62,1100;2,2604;44,9310;62,1100;44,9310
1546,2910;77,1840;1,6015;63,1000;2,1935;45,0000;63,1000;45,0000
1587,3139;77,5980;1,5997;64,0600;2,1577;45,6621;64,0600;45,6621
1629,4260;78,4900;1,5604;63,7300;2,1475;45,7448;63,7300;45,7448
1669,5377;78,8120;1,5535;64,9600;2,1101;46,4483;64,9600;46,4483
1712,7903;79,2500;1,5378;64,4600;2,1354;46,6069;64,4600;46,6069
1753,4345;79,4660;1,5211;65,8700;2,0744;46,0966;65,8700;46,0966
1794,7897;80,1580;1,5066;65,8300;2,0817;46,2966;65,8300;46,2966
1837,2073;80,4160;1,5027;65,8200;2,1006;46,1517;65,8200;46,1517
1878,3911;80,7100;1,4807;66,3400;2,0871;49,1517;66,3400;49,1517
1920,2671;81,0100;1,4641;66,8900;2,0667;48,9310;66,8900;48,9310
1966,0352;81,3900;1,4532;67,2000;2,0780;50,2276;67,2000;50,2276
2007,8494;81,7660;1,4453;67,5900;2,0151;47,7931;67,5900;47,7931
2049,7430;82,0900;1,4329;68,3400;1,9970;48,8759;68,3400;48,8759
2093,3261;82,2200;1,4284;68,4900;2,0086;51,2414;68,4900;51,2414
2134,2288;82,7680;1,4024;68,7300;1,9755;51,5379;68,7300;51,5379
2176,5412;83,1860;1,3966;68,5800;1,9858;49,2138;68,5800;49,2138
2216,5880;83,6080;1,3836;68,9300;1,9586;49,6276;68,9300;49,6276
2258,0862;83,4540;1,3828;69,5400;1,9564;48,5310;69,5400;48,5310
2299,3551;84,0520;1,3683;69,2700;1,9402;49,0897;69,2700;49,0897
2341,4184;83,8840;1,3685;69,3800;1,9349;50,7241;69,3800;50,7241
2382,2947;84,2420;1,3615;69,6800;1,9616;50,2207;69,6800;50,2207
2423,3503;84,0820;1,3611;69,5500;1,9532;49,5931;69,5500;49,5931
2464,0734;84,6640;1,3499;69,8000;1,9249;50,2759;69,8000;50,2759
2505,6391;84,4260;1,3531;69,7000;1,9312;50,2276;69,7000;50,2276
2547,0010;77,1440;1,5997;62,5600;2,2431;45,4552;62,5600;45,4552
2588,5082;76,3820;1,6295;62,3500;2,2563;41,4000;62,3500;41,4000
2631,6722;76,6440;1,6189;62,1500;2,1813;44,6552;62,1500;44,6552
2674,5107;76,5480;1,6181;61,3200;2,2401;44,3241;61,3200;44,3241
2715,6231;76,8660;1,6102;62,5000;2,1811;47,6552;62,5000;47,6552
2756,4388;76,5180;1,6164;62,2100;2,2033;43,6552;62,2100;43,6552
2800,4879;76,9340;1,6101;63,4800;2,1372;45,9655;63,4800;45,9655
2841,5703;77,3580;1,5984;63,1900;2,1771;41,2207;63,1900;41,2207
2882,8510;77,6020;1,5843;63,5100;2,1688;43,9241;63,5100;43,9241
2923,0583;77,7120;1,5775;64,6800;2,1296;46,0069;64,6800;46,0069
2965,2162;78,2180;1,5616;64,5400;2,1218;43,5931;64,5400;43,5931
3005,6826;78,5300;1,5533;63,9700;2,1211;46,2276;63,9700;46,2276
3047,2846;78,2460;1,5587;65,2300;2,0890;44,7034;65,2300;44,7034
3088,2153;78,5140;1,5508;64,9400;2,0588;47,8138;64,9400;47,8138
3128,7844;78,7300;1,5381;64,6000;2,0679;46,8000;64,6000;46,8000
3170,2545;78,5920;1,5446;64,5500;2,1096;46,8897;64,5500;46,8897
3212,9010;79,0500;1,5300;65,7500;2,0486;46,9379;65,7500;46,9379
3253,9487;79,2140;1,5202;65,5800;2,0555;49,0276;65,5800;49,0276
3295,2409;79,5620;1,5109;66,4600;2,0053;46,5793;66,4600;46,5793
3337,3850;79,8220;1,5026;65,5700;2,0456;50,0207;65,5700;50,0207
3379,6249;79,8800;1,4970;65,2700;2,0407;47,7379;65,2700;47,7379
3422,6846;80,1920;1,4886;66,4500;2,0074;48,0000;66,4500;48,0000
3462,7069;80,2200;1,4881;64,8800;2,0701;46,3310;64,8800;46,3310
3503,9555;80,4200;1,4809;66,0700;2,0272;48,0966;66,0700;48,0966
3542,9122;80,3600;1,4758;66,6000;2,0135;47,4897;66,6000;47,4897
3583,4385;80,6820;1,4693;67,1300;1,9958;48,9034;67,1300;48,9034
3624,0240;80,7880;1,4630;66,7600;2,0129;47,5310;66,7600;47,5310
3665,3666;80,8180;1,4619;66,8100;1,9719;46,2000;66,8100;46,2000
3705,7170;81,3160;1,4482;66,7200;1,9856;48,8828;66,7200;48,8828
3747,7065;81,4260;1,4424;67,2500;1,9608;51,5172;67,2500;51,5172
3788,0345;81,9560;1,4274;66,5800;2,0028;47,4000;66,5800;47,4000
3830,4451;81,5780;1,4366;68,2000;1,9574;48,9379;68,2000;48,9379
3871,4872;81,9160;1,4221;68,7100;1,8999;52,5310;68,7100;52,5310
3912,7825;82,1360;1,4182;67,9300;1,9633;48,9724;67,9300;48,9724
3953,3253;82,3180;1,4124;68,0800;1,9331;49,5241;68,0800;49,5241
3993,2744;82,4420;1,4029;68,2900;1,9380;51,1931;68,2900;51,1931
4034,0158;82,6500;1,4017;68,3300;1,9138;48,9448;68,3300;48,9448
4078,0755;82,8580;1,3915;67,8200;1,9437;50,5517;67,8200;50,5517
4119,2040;83,0380;1,3866;68,1700;1,9137;51,1517;68,1700;51,1517
4159,6956;83,1140;1,3785;69,0900;1,8969;50,1862;69,0900;50,1862
4201,2254;83,4340;1,3746;69,3900;1,8824;52,3241;69,3900;52,3241
4243,1065;83,6880;1,3588;69,4700;1,8864;51,1586;69,4700;51,1586
4283,0042;83,7000;1,3616;70,1200;1,8512;52,5517;70,1200;52,5517
4323,1660;83,5960;1,3618;69,2700;1,8958;52,4828;69,2700;52,4828
4365,7186;84,0400;1,3457;69,5300;1,8662;50,9379;69,5300;50,9379
4405,9762;84,1840;1,3422;70,3900;1,8507;50,3310;70,3900;50,3310
4446,7526;84,3220;1,3414;69,5500;1,8470;50,2828;69,5500;50,2828
4487,0985;84,3980;1,3363;70,3800;1,8230;53,7172;70,3800;53,7172
4528,3612;84,5060;1,3335;70,5600;1,8215;52,4897;70,5600;52,4897
4569,2230;84,7040;1,3267;70,8700;1,8226;53,2000;70,8700;53,2000
4612,1316;84,9120;1,3156;70,4600;1,8258;52,4000;70,4600;52,4000
4652,8475;85,0720;1,3140;71,1300;1,8083;51,7517;71,1300;51,7517
4693,8994;85,2480;1,3017;71,8100;1,7961;51,9793;71,8100;51,9793
4734,6560;85,3160;1,3061;71,9100;1,7827;53,6207;71,9100;53,6207
4779,7626;85,5220;1,2981;71,4400;1,7902;52,9241;71,4400;52,9241
4819,6589;85,8520;1,2831;71,9300;1,7505;53,2621;71,9300;53,2621
4860,6936;85,7980;1,2832;71,7600;1,7869;51,4138;71,7600;51,4138
4900,2346;85,9960;1,2805;72,8400;1,7571;54,0138;72,8400;54,0138
4942,2612;86,5580;1,2639;72,4400;1,7421;53,7862;72,4400;53,7862
4981,8290;86,2800;1,2711;71,8000;1,7516;53,9724;71,8000;53,9724
5022,5534;86,6420;1,2567;72,7300;1,7469;53,7034;72,7300;53,7034
5064,2490;86,5820;1,2605;73,2000;1,7281;54,6621;73,2000;54,6621
5105,1396;86,7000;1,2514;72,7100;1,7362;53,4414;72,7100;53,4414
5146,5374;87,0280;1,2453;72,8300;1,7254;53,8276;72,8300;53,8276
5189,2459;86,9260;1,2465;73,1700;1,7156;54,5448;73,1700;54,5448
5229,7967;87,2020;1,2379;73,5600;1,7038;54,9517;73,5600;54,9517
5273,3405;87,2880;1,2362;73,3800;1,7089;54,8138;73,3800;54,8138
5313,7275;87,2040;1,2391;73,5800;1,7011;54,3793;73,5800;54,3793
5354,4081;87,3960;1,2297;73,5700;1,6981;55,1310;73,5700;55,1310
5395,9968;87,4860;1,2291;73,3900;1,7063;54,8552;73,3900;54,8552
5436,2889;87,5200;1,2242;73,9600;1,6892;55,9172;73,9600;55,9172
5477,3098;87,4940;1,2272;73,9300;1,6972;55,5724;73,9300;55,5724
5516,6970;87,9480;1,2185;73,7700;1,6844;54,9793;73,7700;54,9793
5558,2176;87,7120;1,2206;74,3400;1,6824;56,0897;74,3400;56,0897
5599,3651;87,9040;1,2170;73,9300;1,6921;55,4414;73,9300;55,4414
5642,2850;88,1780;1,2109;74,1900;1,6728;55,2828;74,1900;55,2828
5684,5242;87,7340;1,2177;73,9700;1,6817;55,6621;73,9700;55,6621
5726,2286;87,9360;1,2100;73,9700;1,6796;55,5862;73,9700;55,5862
5767,6011;87,7740;1,2158;73,9200;1,6822;55,5793;73,9200;55,5793
5810,1095;88,0440;1,2095;74,1600;1,6768;55,6759;74,1600;55,6759
5851,4335;81,0400;1,4451;65,3800;1,9936;45,9379;65,3800;45,9379
5891,5819;80,0280;1,4796;64,9800;2,0355;46,6828;64,9800;46,6828
5933,5396;80,2100;1,4772;66,1000;2,0014;46,6414;66,1000;46,6414
5976,8215;79,9620;1,4912;65,2100;2,0297;48,4207;65,2100;48,4207
6018,0673;80,1300;1,4809;64,3400;2,0531;45,9793;64,3400;45,9793
6059,6510;80,1060;1,4834;65,0300;2,0417;44,4690;65,0300;44,4690
6100,8753;79,9480;1,4883;65,8300;2,0383;45,5793;65,8300;45,5793
6143,0584;80,1300;1,4783;65,8800;2,0115;45,1517;65,8800;45,1517
6185,0101;80,3920;1,4743;66,5300;2,0003;47,3517;66,5300;47,3517
6224,4601;80,1600;1,4752;66,4200;1,9842;49,4759;66,4200;49,4759
6266,9085;80,6040;1,4612;65,5600;2,0384;44,8552;65,5600;44,8552
6307,7889;80,6000;1,4667;66,0400;1,9746;46,3034;66,0400;46,3034
6348,2388;80,8680;1,4569;65,3200;2,0506;45,3655;65,3200;45,3655
6388,5403;80,5760;1,4670;65,9100;1,9966;49,5034;65,9100;49,5034
6430,5953;80,7980;1,4594;66,4000;1,9887;47,7379;66,4000;47,7379
6470,7619;80,9120;1,4498;66,9300;1,9420;49,6414;66,9300;49,6414
6512,2001;81,0800;1,4492;64,8100;2,0606;44,7241;64,8100;44,7241
6552,0155;80,8120;1,4561;66,7800;2,0104;47,1310;66,7800;47,1310
6592,7474;81,0900;1,4393;64,7800;2,0571;47,7103;64,7800;47,7103
6633,4342;81,1340;1,4444;67,0700;1,9555;49,4483;67,0700;49,4483
6676,9040;81,3320;1,4361;67,4800;1,9450;49,2000;67,4800;49,2000
6718,5094;81,2600;1,4424;66,5700;1,9950;49,9793;66,5700;49,9793
6759,5734;81,0180;1,4432;67,0600;1,9697;50,9241;67,0600;50,9241
6801,1779;81,6060;1,4270;65,6000;2,0233;49,5655;65,6000;49,5655
6843,8949;81,4720;1,4347;65,8600;1,9858;47,5586;65,8600;47,5586
6886,1770;81,5760;1,4290;68,5000;1,9082;49,3103;68,5000;49,3103
6926,3986;81,6020;1,4268;66,4300;1,9670;46,7241;66,4300;46,7241
6968,0521;81,7520;1,4226;66,6700;1,9697;47,3172;66,6700;47,3172
7010,2732;81,9100;1,4165;68,0300;1,8841;51,4345;68,0300;51,4345
7051,5467;81,9260;1,4160;65,5200;1,9779;48,5655;65,5200;48,5655
7092,3858;82,1800;1,4060;67,8200;1,9052;52,7655;67,8200;52,7655
7133,6430;81,8840;1,4200;66,1600;1,9890;49,3724;66,1600;49,3724
7174,3160;82,0080;1,4128;67,1000;1,9333;49,7379;67,1000;49,7379
7216,7312;82,0160;1,4102;66,8300;1,9680;51,0276;66,8300;51,0276
7257,4947;82,1580;1,4088;68,4700;1,9155;50,1103;68,4700;50,1103
7299,5909;82,2100;1,4079;67,4400;1,9432;52,6207;67,4400;52,6207
7340,4659;82,0680;1,4074;67,6400;1,9591;49,6828;67,6400;49,6828
7386,2016;82,1260;1,4033;67,4500;1,9601;52,3172;67,4500;52,3172
7428,4033;82,4200;1,3985;68,6200;1,8949;49,1586;68,6200;49,1586
7468,7773;82,3780;1,3934;68,2000;1,8970;51,6759;68,2000;51,6759
7512,0020;82,5260;1,3922;68,5500;1,8820;51,1310;68,5500;51,1310
7552,9152;82,8120;1,3861;68,0800;1,9039;49,6552;68,0800;49,6552
7594,4767;82,6920;1,3874;67,5100;1,9413;47,1241;67,5100;47,1241
7634,6127;82,6460;1,3880;68,1600;1,9217;51,3379;68,1600;51,3379
7677,0307;82,6300;1,3859;68,8000;1,8868;53,7655;68,8000;53,7655
7717,5475;82,7140;1,3870;68,2000;1,9071;49,2345;68,2000;49,2345
7758,1148;82,8300;1,3744;68,9100;1,8623;54,1793;68,9100;54,1793
7797,7081;82,9500;1,3753;68,4600;1,8702;51,3586;68,4600;51,3586
7839,5878;83,1900;1,3723;68,9300;1,8686;50,8414;68,9300;50,8414
