;config_545_avg
Standard_Acc;81,9600
RMSCE;0,0207
gaussian_noise;61,9840
shot_noise;66,0140
impulse_noise;64,2040
defocus_blur;77,0680
glass_blur;64,3640
motion_blur;72,5960
zoom_blur;74,3120
snow;72,2780
frost;72,4300
fog;75,6900
brightness;80,3820
contrast;76,5360
elastic_transform;72,4580
pixelate;69,2780
jpeg_compression;61,9440
speckle_noise;66,2660
gaussian_blur;74,6140
spatter;74,8020
saturate;76,0840
blue_noise;62,7920
brownish_noise;44,1260
checkerboard_cutout;67,9780
circular_motion_blur;75,6020
inverse_sparkles;46,8300
lines;56,2360
pinch_and_twirl;75,7660
ripple;65,7220
sparkles;69,1440
transverse_chromatic_abberation;53,5900
Acc_C-all-19;71,2265
Acc_C-original-15;70,7692
Acc_C-bar-10;61,7786
Acc_all-ex-pixelwise-noise-24;68,7429
RMSCE_C;0,0539
Combined_Noise;70,6400
