train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,6483;4,2427;10,3400;4,0324;8,2138;10,3400;8,2138
12,1785;3,9458;17,7700;3,6980;15,2483;17,7700;15,2483
18,6047;3,6529;24,1300;3,4696;19,7931;24,1300;19,7931
23,4789;3,4372;33,0500;3,0759;27,3517;33,0500;27,3517
28,5711;3,2417;33,6200;3,1678;29,6138;33,6200;29,6138
32,3713;3,0896;39,4300;2,9059;31,2897;39,4300;31,2897
35,0374;2,9855;43,9500;2,7218;34,6000;43,9500;34,6000
37,9555;2,8765;44,5400;2,6743;36,8276;44,5400;36,8276
40,2616;2,8012;48,8100;2,5904;40,6828;48,8100;40,6828
42,6757;2,7138;50,9500;2,4760;40,1862;50,9500;40,1862
44,2058;2,6485;51,6700;2,4292;40,0207;51,6700;40,0207
46,0678;2,5918;55,6500;2,3155;45,0966;55,6500;45,0966
47,3739;2,5494;55,4700;2,3080;42,1793;55,4700;42,1793
48,9620;2,4926;57,7400;2,2215;43,0690;57,7400;43,0690
50,2120;2,4463;57,8300;2,2217;46,6690;57,8300;46,6690
51,6481;2,4031;60,1100;2,1675;46,4759;60,1100;46,4759
52,4001;2,3731;61,1800;2,1590;44,0414;61,1800;44,0414
53,4181;2,3413;61,6900;2,0932;45,0000;61,6900;45,0000
54,4802;2,3001;62,8000;2,0642;46,8276;62,8000;46,8276
