time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
5069,4637;59,9612;3,0600;79,4460;1,7513;47,3517
10549,4056;61,9998;2,9409;79,3740;1,7934;47,4000
16055,3453;61,9577;2,9467;79,4500;1,7668;47,1931
21386,0329;63,8805;2,8518;79,6600;1,7516;47,5724
26168,8387;62,9155;2,8911;79,4560;1,7716;47,3793
30618,7162;63,5524;2,8602;79,4600;1,7493;47,5379
35923,3175;63,6456;2,8704;79,5760;1,7533;47,1793
41258,5026;63,5992;2,8898;79,6720;1,7352;47,6621
46648,1991;63,6348;2,8777;79,6020;1,7389;47,9655
51979,4971;64,5128;2,8247;79,7040;1,7622;47,9586
57493,1476;64,6230;2,8162;79,7240;1,7480;47,6276
62984,1285;64,5259;2,8309;79,7000;1,7434;47,9724
68350,6017;64,9434;2,8137;79,7880;1,7331;48,2138
73691,6624;65,2701;2,7978;79,8140;1,7540;48,2483
79132,1219;64,9096;2,8226;79,9420;1,7247;48,0345
84063,7930;64,3589;2,8417;79,8760;1,7523;48,1310
87966,9418;65,1358;2,8137;79,9200;1,7228;48,0966
92653,2769;65,6184;2,7925;79,9160;1,7487;48,2483
98198,5321;64,7851;2,8264;79,9200;1,7432;48,3793
103824,6267;65,7874;2,7744;80,0020;1,7219;48,8414
