;config_515_avg
Standard_Acc;80,3220
RMSCE;0,4178
gaussian_noise;41,2552
shot_noise;39,4840
impulse_noise;35,8840
defocus_blur;40,9116
glass_blur;26,9256
motion_blur;41,7868
zoom_blur;42,8536
snow;40,1888
frost;45,4276
fog;57,8032
brightness;71,3284
contrast;57,5032
elastic_transform;47,0788
pixelate;50,5152
jpeg_compression;59,2284
speckle_noise;47,7096
gaussian_blur;44,4156
spatter;54,1232
saturate;68,5160
blue_noise_sample;47,4296
brownish_noise;65,7084
caustic_refraction;58,3196
checkerboard_cutout;56,6320
cocentric_sine_waves;18,6856
inverse_sparkles;30,4528
perlin_noise;66,1296
plasma_noise;37,2060
single_frequency_greyscale;28,8684
sparkles;67,7768
Acc_C-all-19;48,0494
Acc_C-original-15;46,5450
Acc_C-bar-10;47,7209
Acc_all-ex-pixelwise-noise-24;49,0994
RMSCE_C;0,2495
Combined_Noise;77,2220
