time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
503,1266;9,7112;4,5021;14,9600;4,1645;6,9448;14,9600;6,9448
592,9902;23,9965;3,6885;20,3600;3,9912;9,3724;20,3600;9,3724
677,5676;32,2511;3,3309;28,0600;3,5622;10,6966;28,0600;10,6966
767,5417;37,3822;3,1173;30,1000;3,5342;11,7862;30,1000;11,7862
865,4265;41,3752;2,9583;34,6400;3,3184;15,4069;34,6400;15,4069
969,3463;44,5318;2,8303;37,7900;3,1223;14,1862;37,7900;14,1862
1082,9769;46,9992;2,7308;43,0600;2,9434;14,1586;43,0600;14,1586
1166,3789;49,5427;2,6400;43,0400;2,9271;16,5034;43,0400;16,5034
1255,8712;51,6534;2,5648;45,3400;2,8446;17,2345;45,3400;17,2345
1340,4130;53,7061;2,4851;45,5800;2,8193;17,2483;45,5800;17,2483
1445,2613;54,9282;2,4334;47,8800;2,7448;18,3517;47,8800;18,3517
1562,8485;56,5952;2,3721;51,2400;2,6084;19,2552;51,2400;19,2552
1658,7026;58,5086;2,3118;53,6100;2,5318;20,5862;53,6100;20,5862
1771,1452;59,6165;2,2651;54,3200;2,4909;22,3517;54,3200;22,3517
1855,0334;61,3255;2,2157;55,5600;2,4416;20,9241;55,5600;20,9241
1948,1322;62,1700;2,1806;56,6200;2,3955;21,0207;56,6200;21,0207
2031,3892;63,2019;2,1424;57,4300;2,3771;21,5793;57,4300;21,5793
2141,4261;64,0153;2,1110;58,1300;2,3473;22,0138;58,1300;22,0138
2271,3246;64,4000;2,1015;58,5100;2,3353;22,4897;58,5100;22,4897
2358,7873;64,7797;2,0887;58,4300;2,3304;22,4897;58,4300;22,4897
2455,8400;54,4995;2,4478;46,6300;2,7683;16,4207;46,6300;16,4207
2550,9041;54,5996;2,4435;44,9200;2,8208;16,8690;44,9200;16,8690
2721,9482;55,3089;2,4136;47,7500;2,7467;18,7310;47,7500;18,7310
2809,9360;56,0111;2,3880;49,0300;2,6969;17,7241;49,0300;17,7241
2900,5621;56,9728;2,3539;48,9800;2,6995;17,0345;48,9800;17,0345
2985,8715;58,0628;2,3143;49,5600;2,6778;18,4552;49,5600;18,4552
3081,4132;58,7440;2,2934;49,3000;2,6716;19,5034;49,3000;19,5034
3167,3601;59,6917;2,2537;53,9500;2,5273;19,2345;53,9500;19,2345
3264,2227;60,3498;2,2301;52,7400;2,5523;20,4483;52,7400;20,4483
3357,8842;60,2807;2,2265;54,4500;2,4804;21,9379;54,4500;21,9379
3444,9308;61,5910;2,1848;53,1500;2,5287;20,1862;53,1500;20,1862
3549,9672;62,1320;2,1636;55,3000;2,4516;21,2276;55,3000;21,2276
3637,7246;62,7611;2,1369;55,8300;2,4152;22,6069;55,8300;22,6069
3745,4529;63,5645;2,1129;54,7500;2,4639;21,6483;54,7500;21,6483
3830,2210;64,0904;2,0897;57,5000;2,3827;22,3517;57,5000;22,3517
3920,3103;64,9039;2,0644;56,9500;2,3947;20,6276;56,9500;20,6276
4022,0696;65,5180;2,0394;58,0500;2,3473;21,5241;58,0500;21,5241
4110,2072;66,1040;2,0155;56,7000;2,3983;23,8897;56,7000;23,8897
4233,8804;66,7592;1,9980;59,0000;2,3079;24,7724;59,0000;24,7724
4332,1386;67,5926;1,9648;58,6700;2,3442;24,1448;58,6700;24,1448
4447,5557;68,3730;1,9429;61,0400;2,2405;25,8966;61,0400;25,8966
4532,6443;68,9380;1,9184;61,0300;2,2413;24,8138;61,0300;24,8138
4622,4999;69,6092;1,8987;60,9300;2,2531;22,9655;60,9300;22,9655
4710,6501;70,0330;1,8784;62,8200;2,1871;24,6690;62,8200;24,6690
4814,6757;70,9095;1,8549;62,5000;2,1789;24,3172;62,5000;24,3172
4953,1303;71,4094;1,8273;64,0000;2,1422;26,2345;64,0000;26,2345
5041,3920;71,9443;1,8084;64,3900;2,1193;26,5724;64,3900;26,5724
5130,6903;72,7628;1,7866;64,3500;2,1298;26,8483;64,3500;26,8483
5215,5440;73,4450;1,7613;65,2900;2,1117;27,0759;65,2900;27,0759
5315,4931;73,9659;1,7499;65,1900;2,0892;26,6828;65,1900;26,6828
5402,9862;74,8184;1,7242;65,9400;2,0697;27,0276;65,9400;27,0276
5520,7859;75,0488;1,7109;66,0300;2,0674;27,6276;66,0300;27,6276
5606,2470;75,5197;1,6958;66,8800;2,0456;28,4897;66,8800;28,4897
5696,5753;76,1127;1,6783;66,7000;2,0460;28,0414;66,7000;28,0414
5786,1377;76,4944;1,6660;67,3200;2,0334;28,0966;67,3200;28,0966
5905,3225;76,7138;1,6550;67,2600;2,0314;28,6069;67,2600;28,6069
6022,0262;77,1125;1,6464;67,3700;2,0237;28,2690;67,3700;28,2690
6107,6103;77,0955;1,6456;67,5700;2,0195;28,3655;67,5700;28,3655
6197,5130;77,3449;1,6363;67,6500;2,0194;28,3862;67,6500;28,3862
6279,9503;77,4541;1,6348;67,5500;2,0189;28,2552;67,5500;28,2552
6370,5868;64,9930;2,0484;54,2200;2,5096;20,5379;54,2200;20,5379
6456,0645;63,5345;2,0970;53,5600;2,5200;21,4483;53,5600;21,4483
6541,1299;63,8991;2,0951;54,9000;2,4792;20,3931;54,9000;20,3931
6627,1537;63,8430;2,0950;50,9000;2,6537;19,7448;50,9000;19,7448
6709,9921;64,2467;2,0826;54,0800;2,4935;22,4138;54,0800;22,4138
6796,2563;64,4080;2,0702;56,0300;2,4329;23,4207;56,0300;23,4207
6878,4934;64,6324;2,0654;56,1000;2,4123;23,4483;56,1000;23,4483
6973,6849;64,7696;2,0616;54,1400;2,5036;19,5517;54,1400;19,5517
7064,5998;65,2445;2,0447;56,2000;2,4016;22,1517;56,2000;22,1517
7148,4043;65,0922;2,0422;56,9700;2,3849;22,8345;56,9700;22,8345
7232,0895;65,4769;2,0312;55,0900;2,4459;20,4483;55,0900;20,4483
7316,7545;65,7283;2,0267;56,5600;2,3942;20,2276;56,5600;20,2276
