;config_538_avg
Standard_Acc;73,9600
RMSCE;0,0348
gaussian_noise;39,3320
shot_noise;43,2300
impulse_noise;44,2200
defocus_blur;49,2560
glass_blur;38,8060
motion_blur;55,8800
zoom_blur;51,3600
snow;50,5660
frost;54,3820
fog;57,3880
brightness;62,9420
contrast;44,0640
elastic_transform;58,6220
pixelate;58,7820
jpeg_compression;59,8240
speckle_noise;37,4140
gaussian_blur;51,4880
spatter;53,5660
saturate;58,7000
blue_noise_sample;54,5160
brownish_noise;56,9060
caustic_refraction;40,2200
checkerboard_cutout;48,9000
cocentric_sine_waves;31,5600
inverse_sparkles;25,6620
perlin_noise;63,3160
plasma_noise;32,6080
single_frequency_greyscale;26,7380
sparkles;66,2240
Acc_C-all-19;51,0433
Acc_C-original-15;51,2436
Acc_C-bar-10;44,6650
Acc_all-ex-pixelwise-noise-24;49,9067
RMSCE_C;0,0825
Combined_Noise;67,7100
