time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
127,1489;3,8358;5,0192;7,5600;4,7065;4,9034;7,5600;4,9034
250,1789;10,2221;4,5279;15,2200;4,2378;8,4690;15,2200;8,4690
373,8051;16,2498;4,1842;22,4800;3,8657;12,4483;22,4800;12,4483
495,9903;20,7688;3,9609;25,5700;3,7127;12,7517;25,5700;12,7517
621,0587;24,7198;3,7796;30,0300;3,4876;13,9034;30,0300;13,9034
746,6912;27,9725;3,6236;33,4400;3,3931;15,7241;33,4400;15,7241
874,0739;30,6633;3,5089;35,9400;3,2740;16,4690;35,9400;16,4690
1003,4620;33,2859;3,3929;39,6400;3,1085;19,7793;39,6400;19,7793
1133,7157;35,2985;3,3082;40,5400;3,1159;20,8828;40,5400;20,8828
1259,6292;37,4974;3,2153;42,1100;3,0357;19,8552;42,1100;19,8552
1384,8643;39,3406;3,1500;46,0700;2,8702;23,1241;46,0700;23,1241
1513,5894;41,1609;3,0723;47,7300;2,8227;23,2759;47,7300;23,2759
1635,8122;42,6455;3,0115;48,4900;2,7644;24,3172;48,4900;24,3172
1760,5665;43,6693;2,9729;50,2800;2,6998;24,5724;50,2800;24,5724
1891,1863;45,0327;2,9199;51,8200;2,6335;25,6138;51,8200;25,6138
2018,1360;46,3861;2,8773;53,0800;2,5995;25,9172;53,0800;25,9172
2139,2783;47,1685;2,8424;54,0300;2,5604;26,8897;54,0300;26,8897
2257,5756;48,2013;2,8024;54,9900;2,5530;27,4552;54,9900;27,4552
2381,9763;48,2434;2,8027;55,1700;2,5311;28,0000;55,1700;28,0000
2500,9496;48,3285;2,7966;55,2700;2,5194;28,0207;55,2700;28,0207
2621,8872;39,7413;3,1251;42,6300;3,0099;19,7517;42,6300;19,7517
2761,1525;40,1471;3,1059;44,2800;2,9328;22,5172;44,2800;22,5172
2886,3238;41,1629;3,0665;45,7200;2,8564;22,3241;45,7200;22,3241
3024,1357;42,3450;3,0235;45,9200;2,8731;23,9517;45,9200;23,9517
3144,8443;43,1534;2,9814;46,6100;2,8536;24,9310;46,6100;24,9310
3263,7452;44,2854;2,9467;48,2000;2,7771;25,0828;48,2000;25,0828
3398,7574;45,0347;2,9127;50,9900;2,6874;25,5310;50,9900;25,5310
3522,2324;46,1467;2,8695;50,4100;2,7244;25,3931;50,4100;25,3931
3651,2305;46,9601;2,8348;52,0900;2,6420;25,8483;52,0900;25,8483
3770,4865;47,5582;2,8109;49,7200;2,7094;23,9103;49,7200;23,9103
3895,6738;48,2093;2,7857;52,4500;2,6046;27,7724;52,4500;27,7724
4020,3786;49,4966;2,7448;53,7100;2,5737;28,8483;53,7100;28,8483
4145,3316;49,7701;2,7287;52,8200;2,6026;23,9793;52,8200;23,9793
4289,4243;50,5715;2,6912;54,1500;2,5213;28,2828;54,1500;28,2828
4421,7078;51,3008;2,6667;53,8400;2,5506;27,5862;53,8400;27,5862
4562,0902;51,9239;2,6491;57,1000;2,4450;28,3241;57,1000;28,3241
4703,0106;52,7824;2,6123;57,1200;2,4520;28,6828;57,1200;28,6828
4855,0522;53,2092;2,6007;58,1800;2,4025;29,6000;58,1800;29,6000
5002,2355;53,7481;2,5795;58,9100;2,4053;31,0690;58,9100;31,0690
5136,9900;54,6077;2,5454;59,8000;2,3438;30,9034;59,8000;30,9034
5259,1907;55,0815;2,5218;59,0400;2,3613;30,3034;59,0400;30,3034
5383,6937;55,7877;2,5029;59,9700;2,3590;32,9862;59,9700;32,9862
5509,4398;56,4720;2,4719;61,5100;2,3017;31,9310;61,5100;31,9310
5632,6671;56,8777;2,4577;61,6300;2,2992;33,9172;61,6300;33,9172
5774,8772;57,5929;2,4348;62,9900;2,2451;33,5724;62,9900;33,5724
5904,0701;58,0317;2,4106;64,0400;2,2027;33,6828;64,0400;33,6828
6032,1301;58,4975;2,3938;64,1600;2,1934;33,9793;64,1600;33,9793
6162,4042;59,1437;2,3704;64,6100;2,1710;35,2483;64,6100;35,2483
6287,1982;59,9691;2,3447;65,3400;2,1485;34,9034;65,3400;34,9034
6417,4858;60,3939;2,3306;65,7200;2,1337;36,0483;65,7200;36,0483
6563,1636;61,1953;2,3029;66,8900;2,1066;36,4138;66,8900;36,4138
6692,4853;61,4868;2,2894;66,7200;2,1034;36,4966;66,7200;36,4966
6824,0435;61,7643;2,2808;66,9400;2,0945;37,3655;66,9400;37,3655
6955,0288;61,9396;2,2711;67,3700;2,0822;37,4138;67,3700;37,4138
7093,2981;62,4555;2,2476;67,7100;2,0707;37,4069;67,7100;37,4069
7245,7860;62,7941;2,2466;67,5200;2,0656;37,6138;67,5200;37,6138
7391,5027;63,1408;2,2329;67,4000;2,0628;38,2552;67,4000;38,2552
7536,7498;63,1588;2,2327;67,9200;2,0583;38,0000;67,9200;38,0000
7687,9581;63,0726;2,2312;67,8000;2,0551;38,1172;67,8000;38,1172
7843,8241;63,3171;2,2221;67,7300;2,0529;38,1241;67,7300;38,1241
7970,2696;52,9066;2,5994;52,2100;2,6453;25,9586;52,2100;25,9586
8098,9149;51,6424;2,6568;51,8900;2,6315;26,8897;51,8900;26,8897
8227,9857;51,8688;2,6443;54,2900;2,5369;27,4690;54,2900;27,4690
8358,5209;52,0752;2,6352;53,9400;2,5806;28,6621;53,9400;28,6621
8495,3101;51,7476;2,6458;54,3300;2,5476;26,7655;54,3300;26,7655
8644,7620;52,1353;2,6357;54,2600;2,5488;27,4966;54,2600;27,4966
8786,9519;52,7213;2,6142;55,7000;2,4825;28,6483;55,7000;28,6483
8914,3281;52,6913;2,6120;55,7500;2,5098;29,6966;55,7500;29,6966
9048,7147;53,1080;2,5945;55,6300;2,4809;29,8000;55,6300;29,8000
9176,6393;53,5137;2,5826;56,9600;2,4567;27,8483;56,9600;27,8483
9305,1242;53,9114;2,5723;56,5800;2,4310;28,6966;56,5800;28,6966
9446,2949;53,7341;2,5742;53,3300;2,6107;26,9862;53,3300;26,9862
9590,9630;54,3071;2,5564;58,2900;2,3989;30,2966;58,2900;30,2966
9731,9094;54,2470;2,5425;56,9300;2,4466;29,6483;56,9300;29,6483
9854,1104;54,8982;2,5310;58,6400;2,4237;32,1793;58,6400;32,1793
9973,5804;54,8791;2,5246;58,8400;2,4172;30,8621;58,8400;30,8621
10094,2301;55,2989;2,5202;58,2600;2,3911;31,1034;58,2600;31,1034
10219,7959;55,5223;2,5043;57,9900;2,4278;28,0276;57,9900;28,0276
10364,6087;55,7066;2,4966;58,4700;2,3968;28,5586;58,4700;28,5586
10492,8075;55,7697;2,4973;57,5800;2,4029;27,8069;57,5800;27,8069
10628,1633;56,3527;2,4726;56,4300;2,4689;28,8069;56,4300;28,8069
10759,4594;56,4179;2,4709;61,2100;2,3070;31,5379;61,2100;31,5379
10908,4564;56,8997;2,4529;57,7600;2,4008;26,8552;57,7600;26,8552
11074,3847;57,0179;2,4457;61,5300;2,2834;30,6000;61,5300;30,6000
11218,1468;56,9718;2,4480;60,4300;2,3332;30,2345;60,4300;30,2345
11371,2829;57,4317;2,4375;59,2300;2,3377;29,6828;59,2300;29,6828
11542,5260;57,7252;2,4179;62,0000;2,2683;32,7310;62,0000;32,7310
11720,5074;57,8474;2,4164;59,9800;2,3305;31,5172;59,9800;31,5172
11849,7857;58,3633;2,4024;61,3800;2,2819;32,1241;61,3800;32,1241
11974,8309;58,7139;2,3807;62,0800;2,2554;32,9310;62,0800;32,9310
12099,4620;59,0165;2,3742;62,1900;2,2482;32,4828;62,1900;32,4828
12227,2754;59,0866;2,3633;63,0200;2,2248;33,2621;63,0200;33,2621
12353,1271;59,4923;2,3596;61,6300;2,2827;32,3241;61,6300;32,3241
12497,5022;59,8760;2,3415;61,4700;2,2946;32,0621;61,4700;32,0621
12639,0784;59,7988;2,3413;63,6600;2,1856;34,4414;63,6600;34,4414
12771,2023;60,1505;2,3321;64,0500;2,1910;32,1517;64,0500;32,1517
12899,7818;60,4811;2,3175;64,2900;2,1803;33,6414;64,2900;33,6414
13030,5273;60,7776;2,2988;65,2400;2,1624;35,9103;65,2400;35,9103
13159,4149;61,1082;2,2934;64,0000;2,2096;34,3655;64,0000;34,3655
13300,7981;61,8034;2,2731;64,7700;2,1197;35,2621;64,7700;35,2621
13436,3954;61,7092;2,2729;64,4000;2,1706;35,7724;64,4000;35,7724
13567,2811;62,1951;2,2513;64,8700;2,1455;33,4276;64,8700;33,4276
13695,6892;62,6589;2,2429;65,7400;2,1165;35,4276;65,7400;35,4276
13826,5615;63,0065;2,2259;65,9800;2,1255;34,7862;65,9800;34,7862
13958,4546;63,1888;2,2212;67,1100;2,0838;35,8207;67,1100;35,8207
14107,8947;63,5315;2,2053;66,1700;2,1172;35,1793;66,1700;35,1793
14243,2707;63,6817;2,2014;67,2700;2,0700;37,2552;67,2700;37,2552
14376,4500;63,9752;2,1810;68,2800;2,0516;36,6069;68,2800;36,6069
14512,8455;64,6054;2,1609;67,1300;2,0750;36,3379;67,1300;36,3379
14649,3035;64,9590;2,1526;68,2400;2,0566;37,6552;68,2400;37,6552
14787,7912;64,9640;2,1494;68,7600;2,0321;39,3241;68,7600;39,3241
14913,5498;65,2285;2,1445;69,1200;2,0174;39,0897;69,1200;39,0897
15036,2597;65,6712;2,1238;68,9300;2,0190;38,0345;68,9300;38,0345
15169,7632;66,1170;2,1136;69,6900;2,0020;38,4483;69,6900;38,4483
15294,9982;66,6870;2,0965;70,2500;1,9855;39,9034;70,2500;39,9034
15417,3495;66,8303;2,0860;70,0600;1,9727;38,9862;70,0600;38,9862
15545,8433;67,0827;2,0728;69,8500;1,9749;39,4276;69,8500;39,4276
15671,9580;67,2250;2,0764;70,5200;1,9617;37,8000;70,5200;37,8000
15796,5825;67,7559;2,0513;70,9500;1,9484;41,2207;70,9500;41,2207
15922,2193;67,8521;2,0457;71,3500;1,9404;39,8138;71,3500;39,8138
16047,0710;68,5553;2,0285;71,4800;1,9281;40,6621;71,4800;40,6621
16169,2431;68,5433;2,0275;71,4200;1,9197;39,9931;71,4200;39,9931
16295,2165;68,7337;2,0154;71,7600;1,9210;40,4138;71,7600;40,4138
16418,0874;69,1404;2,0006;71,6300;1,9231;40,6414;71,6300;40,6414
16542,3743;69,0662;1,9986;72,1800;1,9091;40,7862;72,1800;40,7862
16668,6820;69,6333;1,9810;72,4900;1,8944;41,3310;72,4900;41,3310
16796,1348;70,0931;1,9687;72,3400;1,8924;40,8897;72,3400;40,8897
16920,6599;69,9488;1,9760;72,6700;1,8843;40,9862;72,6700;40,9862
17040,0829;70,2954;1,9618;72,8000;1,8804;41,5448;72,8000;41,5448
17162,9546;70,2343;1,9615;72,9500;1,8782;41,6690;72,9500;41,6690
17289,1388;70,3175;1,9598;72,9300;1,8767;41,6759;72,9300;41,6759
17411,6019;70,5599;1,9532;72,9500;1,8712;41,9586;72,9500;41,9586
17537,7719;70,9065;1,9444;72,9900;1,8660;42,2690;72,9900;42,2690
17668,7462;70,8364;1,9399;73,1600;1,8631;42,2759;73,1600;42,2759
17807,9350;70,8133;1,9446;73,3000;1,8629;42,2276;73,3000;42,2276
17974,0875;71,1179;1,9363;72,9900;1,8607;42,3931;72,9900;42,3931
