train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,2120;4,8917;9,9400;4,5263;5,1241;9,9400;5,1241
13,1080;4,3151;16,3200;4,1848;7,5103;16,3200;7,5103
19,4730;3,9619;24,7700;3,7065;10,1034;24,7700;10,1034
24,6310;3,7203;28,1900;3,6256;11,4345;28,1900;11,4345
28,9880;3,5428;34,2900;3,3814;13,7448;34,2900;13,7448
32,3000;3,3874;36,3800;3,2625;14,0276;36,3800;14,0276
35,5230;3,2622;39,9100;3,1334;16,5517;39,9100;16,5517
38,3820;3,1465;42,8400;3,0060;18,8759;42,8400;18,8759
40,7430;3,0504;44,1400;2,9379;20,5655;44,1400;20,5655
43,0410;2,9576;46,5600;2,8575;19,7310;46,5600;19,7310
45,2480;2,8728;47,3600;2,8296;21,9172;47,3600;21,9172
47,3520;2,7970;50,0000;2,7319;22,0966;50,0000;22,0966
49,3900;2,7212;52,0400;2,6622;23,7241;52,0400;23,7241
51,0670;2,6572;53,2500;2,6189;23,4000;53,2500;23,4000
52,9610;2,5944;54,1300;2,5754;24,9103;54,1300;24,9103
54,3120;2,5431;55,2100;2,5206;26,4345;55,2100;26,4345
55,6710;2,5010;55,6100;2,5002;25,2966;55,6100;25,2966
56,5830;2,4638;56,3700;2,4772;26,5448;56,3700;26,5448
57,3680;2,4389;56,8000;2,4645;26,6690;56,8000;26,6690
57,8190;2,4237;56,9300;2,4625;26,6345;56,9300;26,6345
45,1990;2,8621;43,8000;2,9705;18,8966;43,8000;18,8966
45,6600;2,8476;47,4200;2,8491;21,5517;47,4200;21,5517
46,9930;2,8053;48,4100;2,7891;22,2069;48,4100;22,2069
48,1900;2,7529;49,8500;2,7466;22,8828;49,8500;22,8828
49,5940;2,7070;49,0100;2,7713;23,2828;49,0100;23,2828
50,7080;2,6604;48,3500;2,8060;21,3034;48,3500;21,3034
51,9750;2,6110;51,2300;2,6531;22,9172;51,2300;22,9172
53,0610;2,5697;50,7500;2,7224;22,5241;50,7500;22,5241
54,1320;2,5300;52,7200;2,6441;24,2897;52,7200;24,2897
55,4090;2,4891;52,4300;2,6684;21,9448;52,4300;21,9448
56,5440;2,4471;52,9900;2,6073;24,8759;52,9900;24,8759
57,5550;2,4134;54,6400;2,5870;26,2345;54,6400;26,2345
58,5550;2,3736;55,2600;2,5647;24,0345;55,2600;24,0345
59,6020;2,3338;56,5900;2,4816;25,0483;56,5900;25,0483
60,8840;2,2913;57,8100;2,4769;25,4483;57,8100;25,4483
62,1610;2,2485;56,1700;2,5277;25,0414;56,1700;25,0414
63,2570;2,2107;58,5500;2,4429;27,4759;58,5500;27,4759
64,3180;2,1739;59,2100;2,4528;28,6966;59,2100;28,6966
65,4670;2,1409;58,6500;2,4357;26,8207;58,6500;26,8207
66,7780;2,0953;58,6900;2,4511;28,0069;58,6900;28,0069
68,1040;2,0541;60,9000;2,3775;28,4345;60,9000;28,4345
69,1850;2,0153;61,3100;2,3636;30,5517;61,3100;30,5517
70,4410;1,9773;60,7600;2,3887;29,2690;60,7600;29,2690
71,7480;1,9396;61,5900;2,3395;30,6207;61,5900;30,6207
73,1670;1,8951;61,6100;2,3370;30,4483;61,6100;30,4483
74,3800;1,8643;61,6400;2,3316;30,9862;61,6400;30,9862
75,6130;1,8225;61,8100;2,3353;29,6483;61,8100;29,6483
76,6180;1,7921;62,6500;2,2982;31,1862;62,6500;31,1862
77,7310;1,7584;62,8100;2,2949;30,9517;62,8100;30,9517
79,0640;1,7257;63,3700;2,2978;31,8690;63,3700;31,8690
79,8920;1,6983;63,0200;2,2761;30,9931;63,0200;30,9931
80,9150;1,6677;63,3100;2,2733;31,6345;63,3100;31,6345
81,4240;1,6510;63,8000;2,2625;32,2414;63,8000;32,2414
82,2120;1,6256;63,7700;2,2639;32,3586;63,7700;32,3586
82,7010;1,6109;63,8800;2,2525;32,0345;63,8800;32,0345
83,3270;1,5962;63,8800;2,2462;32,1241;63,8800;32,1241
83,6500;1,5829;63,8000;2,2483;31,9172;63,8000;31,9172
83,7830;1,5785;63,8700;2,2497;32,0690;63,8700;32,0690
84,0350;1,5720;63,9000;2,2455;32,0897;63,9000;32,0897
84,0360;1,5707;63,7700;2,2464;32,1655;63,7700;32,1655
64,4060;2,1599;52,3500;2,7333;24,0345;52,3500;24,0345
62,1120;2,2278;53,4000;2,6587;25,3241;53,4000;25,3241
62,3890;2,2259;54,8200;2,6633;26,1862;54,8200;26,1862
62,5960;2,2210;54,4600;2,5874;23,2966;54,4600;23,2966
63,2090;2,2009;55,1800;2,5697;26,9241;55,1800;26,9241
63,2460;2,1934;56,0800;2,5712;27,0690;56,0800;27,0690
63,9950;2,1766;54,1900;2,5825;24,4759;54,1900;24,4759
64,4350;2,1614;55,9200;2,5408;26,0759;55,9200;26,0759
64,9200;2,1424;54,6400;2,6077;27,2138;54,6400;27,2138
65,3900;2,1299;56,0000;2,5881;26,1103;56,0000;26,1103
65,9620;2,1116;55,6200;2,5539;26,6207;55,6200;26,6207
66,4090;2,0926;55,9700;2,5772;26,2552;55,9700;26,2552
66,9840;2,0788;54,3700;2,6479;25,1310;54,3700;25,1310
67,4040;2,0618;55,1500;2,5679;22,8276;55,1500;22,8276
68,1060;2,0462;55,2200;2,6197;24,6345;55,2200;24,6345
68,2330;2,0358;56,3800;2,5832;26,7448;56,3800;26,7448
68,9760;2,0138;56,7000;2,5441;24,1517;56,7000;24,1517
69,6360;1,9985;57,4300;2,5231;27,7172;57,4300;27,7172
69,9590;1,9798;56,5300;2,5682;25,4276;56,5300;25,4276
70,5520;1,9654;57,0700;2,5492;27,6138;57,0700;27,6138
70,9970;1,9510;57,4900;2,4859;28,4552;57,4900;28,4552
71,3900;1,9351;56,6100;2,5754;26,6345;56,6100;26,6345
71,7760;1,9216;56,3000;2,5586;24,7379;56,3000;24,7379
72,4600;1,9049;58,3200;2,5575;26,6828;58,3200;26,6828
73,0290;1,8860;57,9400;2,4902;28,8897;57,9400;28,8897
73,7090;1,8663;57,8400;2,5037;26,8138;57,8400;26,8138
74,1100;1,8544;59,0700;2,4534;29,1931;59,0700;29,1931
74,4610;1,8411;57,2400;2,4994;28,4690;57,2400;28,4690
75,3230;1,8200;58,0700;2,5124;26,0207;58,0700;26,0207
75,5050;1,8074;57,3500;2,5048;27,4690;57,3500;27,4690
76,2630;1,7868;58,2100;2,4775;26,6414;58,2100;26,6414
76,8740;1,7678;58,1400;2,4977;27,9586;58,1400;27,9586
77,4800;1,7523;58,5300;2,4887;27,2759;58,5300;27,2759
78,0030;1,7355;59,5300;2,4569;27,1931;59,5300;27,1931
78,4210;1,7193;58,6500;2,4812;27,0690;58,6500;27,0690
78,9130;1,7055;59,5800;2,4674;29,4069;59,5800;29,4069
79,4900;1,6883;59,3200;2,4695;28,4483;59,3200;28,4483
80,1360;1,6746;59,4900;2,4283;25,9931;59,4900;25,9931
80,7310;1,6518;60,1200;2,4253;27,7655;60,1200;27,7655
81,3170;1,6352;59,6900;2,4479;27,6483;59,6900;27,6483
81,7900;1,6169;60,3000;2,3846;27,8207;60,3000;27,8207
82,3890;1,6012;59,3900;2,4683;28,5517;59,3900;28,5517
83,0450;1,5818;60,2500;2,4253;27,6552;60,2500;27,6552
83,4060;1,5704;61,2000;2,3888;29,5172;61,2000;29,5172
84,0870;1,5493;60,9900;2,3772;29,3862;60,9900;29,3862
84,4650;1,5407;61,1900;2,3614;29,0483;61,1900;29,0483
85,0790;1,5205;61,0700;2,3728;29,1655;61,0700;29,1655
85,7740;1,5000;61,4800;2,3692;29,5793;61,4800;29,5793
86,0500;1,4910;61,9400;2,3244;29,2966;61,9400;29,2966
86,6170;1,4708;61,3400;2,4102;29,0345;61,3400;29,0345
87,0270;1,4595;62,1400;2,3398;29,5862;62,1400;29,5862
87,3630;1,4462;62,7100;2,3216;29,2276;62,7100;29,2276
87,6550;1,4358;62,4300;2,3227;30,0000;62,4300;30,0000
88,1600;1,4169;62,2200;2,3136;29,2966;62,2200;29,2966
88,5940;1,4019;62,3100;2,3276;29,8759;62,3100;29,8759
88,8630;1,3915;63,1400;2,2969;29,8690;63,1400;29,8690
89,3430;1,3777;62,9700;2,2886;30,3448;62,9700;30,3448
89,7420;1,3638;63,2100;2,2994;31,3517;63,2100;31,3517
