time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
372,2769;65,4630;2,2262;84,7000;1,4150;55,4138;84,7000;55,4138
863,0662;77,5530;1,6700;84,8300;1,3742;54,8069;84,8300;54,8069
1288,7042;80,7560;1,5368;86,2300;1,3315;53,2000;86,2300;53,2000
1691,9583;82,9920;1,4500;86,1500;1,3351;54,3517;86,1500;54,3517
2084,6662;84,8380;1,3800;85,7300;1,3449;51,8759;85,7300;51,8759
2577,0604;86,5800;1,3211;86,0000;1,3383;53,9793;86,0000;53,9793
2996,5480;88,0110;1,2715;86,0000;1,3269;53,3586;86,0000;53,3586
3417,4262;89,3120;1,2286;86,1600;1,3383;54,2552;86,1600;54,2552
4071,9045;90,2620;1,1938;86,3500;1,3384;54,5931;86,3500;54,5931
4520,8517;91,4080;1,1546;86,6300;1,3176;53,7448;86,6300;53,7448
4927,6462;92,1440;1,1315;86,6900;1,3086;54,3103;86,6900;54,3103
5346,7616;93,0540;1,0997;87,4800;1,3037;54,3724;87,4800;54,3724
5773,4311;93,8060;1,0763;87,4800;1,2946;55,5655;87,4800;55,5655
6158,0422;94,4660;1,0529;87,6700;1,3033;55,4897;87,6700;55,4897
6552,2926;94,9420;1,0354;88,1100;1,2802;56,9034;88,1100;56,9034
6979,8046;95,2010;1,0246;88,5300;1,2834;56,3103;88,5300;56,3103
7356,5915;95,6000;1,0118;88,6500;1,2704;56,7931;88,6500;56,7931
7754,1297;95,7120;1,0071;88,4000;1,2698;57,3448;88,4000;57,3448
8251,7101;95,8920;1,0016;88,7000;1,2693;56,8414;88,7000;56,8414
8784,2010;95,8970;1,0006;88,7100;1,2662;56,5793;88,8300;56,9034
