;config_192_avg
Standard_Acc;89,2500
RMSCE;0,0745
gaussian_noise;48,0120
shot_noise;53,7280
impulse_noise;49,9460
defocus_blur;57,9940
glass_blur;41,0360
motion_blur;66,9260
zoom_blur;60,0540
snow;67,6320
frost;69,5400
fog;67,3400
brightness;75,5880
contrast;58,9580
elastic_transform;66,0100
pixelate;72,7500
jpeg_compression;70,9700
speckle_noise;46,2220
gaussian_blur;60,7880
spatter;67,0080
saturate;71,1840
blue_noise_sample;69,8160
brownish_noise;71,6700
caustic_refraction;51,6240
checkerboard_cutout;63,2140
cocentric_sine_waves;44,5420
inverse_sparkles;37,4640
perlin_noise;81,9120
plasma_noise;40,7880
single_frequency_greyscale;60,4700
sparkles;82,4600
Acc_C-all-19;61,6677
Acc_C-original-15;61,7656
Acc_C-bar-10;60,3960
Acc_all-ex-pixelwise-noise-24;62,8301
RMSCE_C;0,1006
Combined_Noise;88,5800
