;config_393_avg
Standard_Acc;70,8300
RMSCE;0,0270
gaussian_noise;51,2000
shot_noise;54,1000
impulse_noise;54,6000
defocus_blur;54,7000
glass_blur;31,5000
motion_blur;58,5000
zoom_blur;47,2000
snow;60,8000
frost;63,6000
fog;60,8000
brightness;63,6000
contrast;54,2000
elastic_transform;62,2000
pixelate;66,5000
jpeg_compression;66,2000
speckle_noise;50,2000
gaussian_blur;46,5000
spatter;58,0000
saturate;58,0000
blue_noise_sample;50,7000
brownish_noise;53,1000
caustic_refraction;36,3000
checkerboard_cutout;43,2000
cocentric_sine_waves;32,2000
inverse_sparkles;25,6000
perlin_noise;59,4000
plasma_noise;29,0000
single_frequency_greyscale;29,2000
sparkles;63,7000
Acc_C-all-19;55,9158
Acc_C-original-15;56,6467
Acc_C-bar-10;42,2400
Acc_all-ex-pixelwise-noise-24;51,0000
RMSCE_C;0,1091
Combined_Noise;65,4800
