;config_400_avg;config_400_std;config_400_run_0;config_400_run_1;config_400_run_2
Standard_Acc;71,4433;0,1012;71,3900;71,5850;71,3550
RMSCE;0,0241;0,0018;0,0231;0,0266;0,0227
gaussian_noise;51,8667;2,8825;55,1000;48,1000;52,4000
shot_noise;55,5000;0,1414;55,4000;55,7000;55,4000
impulse_noise;52,7333;0,3399;52,4000;53,2000;52,6000
defocus_blur;55,6333;0,8576;54,6000;56,7000;55,6000
glass_blur;32,6333;1,5628;30,6000;32,9000;34,4000
motion_blur;59,1333;1,3425;58,5000;61,0000;57,9000
zoom_blur;49,7333;1,6859;48,8000;52,1000;48,3000
snow;60,0000;1,3928;61,9000;58,6000;59,5000
frost;62,5333;0,5312;63,2000;62,5000;61,9000
fog;63,1333;1,3300;62,4000;62,0000;65,0000
brightness;64,4000;1,4720;63,9000;62,9000;66,4000
contrast;53,8667;0,8014;53,3000;53,3000;55,0000
elastic_transform;59,8667;1,5585;61,3000;60,6000;57,7000
pixelate;62,3000;2,0017;64,7000;59,8000;62,4000
jpeg_compression;65,1667;1,3425;65,8000;66,4000;63,3000
speckle_noise;51,9000;0,4320;52,3000;52,1000;51,3000
gaussian_blur;48,4333;2,6386;45,7000;52,0000;47,6000
spatter;59,7333;1,8980;60,6000;57,1000;61,5000
saturate;60,4667;1,7783;59,8000;62,9000;58,7000
blue_noise_sample;52,4000;1,8385;50,2000;52,3000;54,7000
brownish_noise;54,2667;0,3771;54,0000;54,8000;54,0000
caustic_refraction;37,7000;0,8287;38,6000;36,6000;37,9000
checkerboard_cutout;45,5667;2,6158;42,0000;46,5000;48,2000
cocentric_sine_waves;31,5667;1,3123;30,9000;30,4000;33,4000
inverse_sparkles;27,8000;0,5354;27,2000;28,5000;27,7000
perlin_noise;61,9667;0,6182;62,5000;62,3000;61,1000
plasma_noise;31,7333;1,6580;32,7000;29,4000;33,1000
single_frequency_greyscale;27,6667;0,2494;27,6000;27,4000;28,0000
sparkles;62,9000;1,0614;63,7000;61,4000;63,6000
Acc_C-all-19;56,2649;0,0799;56,3316;56,3105;56,1526
Acc_C-original-15;56,5667;0,1693;56,7933;56,3867;56,5200
Acc_C-bar-10;43,3567;0,5752;42,9400;42,9600;44,1700
Acc_all-ex-pixelwise-noise-24;51,5917;0,1344;51,4292;51,5875;51,7583
RMSCE_C;0,1026;0,0050;0,1078;0,1041;0,0959
Combined_Noise;65,4233;0,1302;65,3800;65,2900;65,6000
