time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
250,0786;2,9863;5,0862;6,8900;4,6380;4,7586;6,8900;4,7586
486,5764;6,7462;4,7720;10,5000;4,5177;7,1379;10,5000;7,1379
783,7177;10,6650;4,5126;15,9500;4,1822;9,1034;15,9500;9,1034
973,1568;13,7750;4,3347;19,1250;4,0333;10,7586;19,1250;10,7586
1174,2107;16,5512;4,1873;23,0350;3,8502;11,4828;23,0350;11,4828
1396,2587;19,2338;4,0558;25,7150;3,6906;13,3103;25,7150;13,3103
1672,2696;21,3800;3,9457;27,5600;3,6649;14,7931;27,5600;14,7931
1955,2082;23,6850;3,8418;30,0400;3,5011;16,6207;30,0400;16,6207
2179,1021;24,9925;3,7703;33,9500;3,3400;18,6897;33,9500;18,6897
2403,6481;26,7975;3,6861;36,0550;3,3035;20,0000;36,0550;20,0000
2589,5735;28,1625;3,6222;36,4650;3,2659;20,0690;36,4650;20,0690
2831,5416;29,6475;3,5576;39,2550;3,1577;22,3793;39,2550;22,3793
2959,5111;30,9713;3,5010;40,4800;3,1265;22,6552;40,4800;22,6552
3068,5445;32,0737;3,4488;41,4150;3,0995;24,0345;41,4150;24,0345
3183,3702;33,6675;3,3858;43,1750;3,0037;24,7586;43,1750;24,7586
3297,4110;34,1325;3,3602;43,4150;3,0087;24,6207;43,4150;24,6207
3410,0671;35,2463;3,3233;44,7200;2,9727;25,8276;44,7200;25,8276
3527,4180;36,0288;3,2940;44,5450;2,9602;25,6207;44,5450;25,6207
3642,1055;36,3338;3,2717;44,9750;2,9417;26,4138;44,9750;26,4138
3770,1878;36,4400;3,2695;45,2850;2,9367;25,9655;45,2850;25,9655
3882,9651;28,5338;3,5957;34,8850;3,3551;19,6552;34,8850;19,6552
3999,4972;29,1638;3,5861;36,7600;3,2518;21,6552;36,7600;21,6552
4117,4972;30,2850;3,5313;39,2300;3,1415;22,7586;39,2300;22,7586
4253,3552;31,0825;3,4901;39,7050;3,1622;22,4483;39,7050;22,4483
4369,7286;32,1487;3,4578;40,7150;3,1389;22,7241;40,7150;22,7241
4494,6599;32,9750;3,4139;42,2400;3,0737;24,0000;42,2400;24,0000
4609,9303;33,5637;3,3823;43,4300;3,0053;25,6897;43,4300;25,6897
4766,4366;34,4913;3,3453;44,8650;2,9693;26,0690;44,8650;26,0690
4881,2646;35,1163;3,3274;44,6200;2,9569;25,9310;44,6200;25,9310
4993,2162;35,7825;3,2877;46,4500;2,9165;28,1379;46,4500;28,1379
5122,8926;36,5500;3,2692;47,5750;2,8860;28,4138;47,5750;28,4138
5279,4401;37,6287;3,2238;46,7750;2,8993;27,7586;46,7750;27,7586
5399,7387;37,7313;3,2101;48,1150;2,8617;27,7931;48,1150;27,7931
5511,7181;38,3263;3,1835;48,5900;2,8267;28,6897;48,5900;28,6897
5634,6369;39,0475;3,1586;48,4750;2,8225;29,2414;48,4750;29,2414
5762,5264;39,8575;3,1241;50,2400;2,7732;30,5172;50,2400;30,5172
5876,3135;40,3250;3,1036;51,2350;2,7264;31,3103;51,2350;31,3103
5998,0667;41,1325;3,0753;51,6050;2,7354;32,1034;51,6050;32,1034
6127,3177;41,1887;3,0652;51,3250;2,7232;29,8966;51,3250;29,8966
6252,4135;41,7300;3,0337;52,1850;2,7184;33,0690;52,1850;33,0690
6371,0418;42,5850;3,0078;54,0800;2,6197;33,7241;54,0800;33,7241
6484,4161;43,3225;2,9831;52,7850;2,6929;32,5172;52,7850;32,5172
6611,0626;44,1225;2,9553;54,4200;2,6324;34,0345;54,4200;34,0345
6746,2721;44,9175;2,9174;54,6850;2,5851;36,1034;54,6850;36,1034
6867,6658;44,9150;2,9149;56,0250;2,5642;35,7586;56,0250;35,7586
6998,5001;45,5838;2,8920;55,7950;2,5756;35,2069;55,7950;35,2069
7126,8035;46,2600;2,8699;56,2450;2,5367;36,2759;56,2450;36,2759
7243,7034;46,8837;2,8432;57,3800;2,5003;37,4138;57,3800;37,4138
7358,7260;47,1487;2,8227;57,9750;2,5125;37,2759;57,9750;37,2759
7479,5348;47,3237;2,8087;58,2650;2,4765;37,5172;58,2650;37,5172
7592,9759;48,0737;2,7835;59,0150;2,4506;37,2069;59,0150;37,2069
7704,8103;48,0100;2,7763;58,8300;2,4524;38,0690;58,8300;38,0690
7815,4129;49,0375;2,7547;59,3000;2,4508;38,7586;59,3000;38,7586
7929,8854;49,1512;2,7440;59,4700;2,4369;39,2759;59,4700;39,2759
8042,3579;49,3362;2,7405;59,4600;2,4307;39,0000;59,4600;39,0000
8156,2065;49,6750;2,7241;60,2350;2,4178;40,2069;60,2350;40,2069
8292,6182;50,1200;2,7069;60,1400;2,4144;39,7241;60,1400;39,7241
8405,4516;49,9888;2,7119;60,3950;2,4094;39,2069;60,3950;39,2069
8519,9435;50,0575;2,7067;60,2650;2,4008;39,9310;60,2650;39,9310
8633,1757;50,1512;2,6989;60,3400;2,4020;39,5862;60,3400;39,5862
8741,5585;40,9025;3,0761;49,9000;2,7511;30,8621;49,9000;30,8621
8860,2798;40,0887;3,1105;48,4500;2,8195;29,3793;48,4500;29,3793
8990,0131;39,9250;3,1138;48,9250;2,7903;29,6207;48,9250;29,6207
